subject,roi,M,T,Q10,Q25,median,Q75,Q90
subj07,lateral,6,1,-0.09658015624350963,0.0029189516365395463,0.0969062908037766,0.18253104599198053,0.250518109612199
subj07,lateral,2,4,-0.01660145122560428,0.0633184835423927,0.1386169118253585,0.2026900272860962,0.2575034814951592
subj07,lateral,4,2,-0.027917518382357585,0.05516141924405313,0.14270784955750704,0.21704113011472975,0.27472495615044235
subj07,lateral,8,1,-0.03203138243357233,0.06099484275588887,0.15192823291765523,0.2306396980528811,0.2961629356149806
subj07,lateral,10,8,0.46957009525358273,0.48153398597699426,0.48566223255038,0.49273775082337756,0.5066005243666882
subj08,lateral,2,1,-0.4790432368283202,-0.41207496916367437,-0.323459087385872,-0.19139543383343843,-0.0693321178278172
subj08,lateral,2,2,-0.42200164685831887,-0.3401327188278108,-0.23435892259910307,-0.11569565520352187,0.008763453728014488
subj08,lateral,4,1,-0.38806146206024833,-0.3164186582167652,-0.2208421157973509,-0.09211896202387154,0.017576787631338502
subj08,lateral,6,1,-0.3215742243756001,-0.2517147671448139,-0.15136235898404102,-0.013208499375748958,0.09107320626614854
subj08,lateral,2,4,-0.33487136060106104,-0.2409376501921785,-0.12799056181430404,-0.00024264527967743366,0.11754649616012063
subj08,lateral,4,2,-0.30833972169044527,-0.2193949854171434,-0.11448648370736664,0.0030460061376536562,0.11240747139231869
subj08,lateral,8,1,-0.3004000151859784,-0.22032133868339637,-0.12195045648914818,0.037345188305111576,0.11911961596266454
subj08,lateral,10,8,0.009515570427257536,0.05644896677715369,0.07707811740449366,0.10289323075841059,0.19739046687815193
