subject,roi,M,T,fold,SCHEDULE_COVERAGE_FOLD
subj02,lateral,2,2,1,0.13142857142857142
subj02,lateral,2,2,2,0.16142857142857142
subj02,lateral,2,2,3,0.25
subj02,lateral,2,2,4,0.08142857142857143
subj02,lateral,2,2,5,0.1957142857142857
subj02,lateral,4,1,0,0.19
subj02,lateral,4,1,1,0.1525
subj02,lateral,4,1,2,0.22875
subj02,lateral,4,1,3,0.295
subj02,lateral,4,1,4,0.10125
subj02,lateral,4,1,5,0.2725
subj02,lateral,6,1,0,0.43375
subj02,lateral,6,1,1,0.30375
subj02,lateral,6,1,2,0.49
subj02,lateral,6,1,3,0.5625
subj02,lateral,6,1,4,0.24375
subj02,lateral,6,1,5,0.52125
subj02,lateral,2,4,0,0.4605714285714286
subj02,lateral,2,4,1,0.36457142857142855
subj02,lateral,2,4,2,0.4657142857142857
subj02,lateral,2,4,3,0.6508571428571429
subj02,lateral,2,4,4,0.3657142857142857
subj02,lateral,2,4,5,0.4662857142857143
subj02,lateral,4,2,0,0.5932142857142857
subj02,lateral,4,2,1,0.45607142857142857
subj02,lateral,4,2,2,0.6182142857142857
subj02,lateral,4,2,3,0.7607142857142857
subj02,lateral,4,2,4,0.42928571428571427
subj02,lateral,4,2,5,0.6257142857142857
subj02,lateral,8,1,0,0.645
subj02,lateral,8,1,1,0.43
subj02,lateral,8,1,2,0.655
subj02,lateral,8,1,3,0.745
subj02,lateral,8,1,4,0.395
subj02,lateral,8,1,5,0.685
subj02,lateral,10,8,0,1.0
subj02,lateral,10,8,1,1.0
subj02,lateral,10,8,2,1.0
subj02,lateral,10,8,3,1.0
subj02,lateral,10,8,4,1.0
subj02,lateral,10,8,5,1.0
subj03,lateral,2,1,0,0.01
subj03,lateral,2,1,1,0.065
subj03,lateral,2,1,2,0.15
subj03,lateral,2,1,3,0.0
subj03,lateral,2,1,4,0.07
subj03,lateral,2,1,5,0.015
subj03,lateral,2,2,0,0.15
subj03,lateral,2,2,1,0.24571428571428572
subj03,lateral,2,2,2,0.40285714285714286
subj03,lateral,2,2,3,0.11142857142857143
subj03,lateral,2,2,4,0.35428571428571426
subj03,lateral,2,2,5,0.16714285714285715
subj03,lateral,4,1,0,0.17125
subj03,lateral,4,1,1,0.39125
subj03,lateral,4,1,2,0.5875
subj03,lateral,4,1,3,0.11
subj03,lateral,4,1,4,0.45625
subj03,lateral,4,1,5,0.1475
subj03,lateral,6,1,0,0.4625
subj03,lateral,6,1,1,0.5575
subj03,lateral,6,1,2,0.78
subj03,lateral,6,1,3,0.425
subj03,lateral,6,1,4,0.745
subj03,lateral,6,1,5,0.345
subj03,lateral,2,4,0,0.6325714285714286
subj03,lateral,2,4,1,0.5948571428571429
subj03,lateral,2,4,2,0.7891428571428571
subj03,lateral,2,4,3,0.46114285714285713
subj03,lateral,2,4,4,0.7697142857142857
subj03,lateral,2,4,5,0.5605714285714286
subj03,lateral,4,2,0,0.7292857142857143
subj03,lateral,4,2,1,0.7067857142857142
subj03,lateral,4,2,2,0.8778571428571429
subj03,lateral,4,2,3,0.5975
subj03,lateral,4,2,4,0.8610714285714286
subj03,lateral,4,2,5,0.5596428571428571
subj03,lateral,8,1,0,0.575
subj03,lateral,8,1,1,0.61
subj03,lateral,8,1,2,0.805
subj03,lateral,8,1,3,0.555
subj03,lateral,8,1,4,0.81
subj03,lateral,8,1,5,0.435
subj03,lateral,10,8,0,1.0
subj03,lateral,10,8,1,1.0
subj03,lateral,10,8,2,1.0
subj03,lateral,10,8,3,1.0
subj03,lateral,10,8,4,1.0
subj03,lateral,10,8,5,1.0
subj04,lateral,2,1,0,0.155
subj04,lateral,2,1,1,0.105
subj04,lateral,2,1,2,0.015
subj04,lateral,2,1,3,0.075
subj04,lateral,2,1,4,0.02
subj04,lateral,2,1,5,0.01
subj04,lateral,2,2,0,0.32142857142857145
subj04,lateral,2,2,1,0.24428571428571427
subj04,lateral,2,2,2,0.055714285714285716
subj04,lateral,2,2,3,0.31857142857142856
subj04,lateral,2,2,4,0.06571428571428571
subj04,lateral,2,2,5,0.18428571428571427
subj04,lateral,4,1,0,0.415
subj04,lateral,4,1,1,0.30875
subj04,lateral,4,1,2,0.08625
subj04,lateral,4,1,3,0.375
subj04,lateral,4,1,4,0.1375
subj04,lateral,4,1,5,0.2075
subj04,lateral,6,1,0,0.5475
subj04,lateral,6,1,1,0.49375
subj04,lateral,6,1,2,0.21125
subj04,lateral,6,1,3,0.55875
subj04,lateral,6,1,4,0.265
subj04,lateral,6,1,5,0.42
subj04,lateral,2,4,0,0.5937142857142857
subj04,lateral,2,4,1,0.5982857142857143
subj04,lateral,2,4,2,0.4337142857142857
subj04,lateral,2,4,3,0.6645714285714286
subj04,lateral,2,4,4,0.12971428571428573
subj04,lateral,2,4,5,0.5874285714285714
subj04,lateral,4,2,0,0.6607142857142857
subj04,lateral,4,2,1,0.5796428571428571
subj04,lateral,4,2,2,0.3732142857142857
subj04,lateral,4,2,3,0.6753571428571429
subj04,lateral,4,2,4,0.2857142857142857
subj04,lateral,4,2,5,0.5535714285714286
subj04,lateral,8,1,0,0.595
subj04,lateral,8,1,1,0.595
subj04,lateral,8,1,2,0.275
subj04,lateral,8,1,3,0.62
subj04,lateral,8,1,4,0.315
subj04,lateral,8,1,5,0.5
subj04,lateral,10,8,0,1.0
subj04,lateral,10,8,1,1.0
subj04,lateral,10,8,2,1.0
subj04,lateral,10,8,3,1.0
subj04,lateral,10,8,4,1.0
subj04,lateral,10,8,5,1.0
subj05,lateral,2,1,0,0.0
subj05,lateral,2,1,1,0.0
subj05,lateral,2,1,2,0.005
subj05,lateral,2,1,3,0.055
subj05,lateral,2,1,4,0.015
subj05,lateral,2,1,5,0.08
subj05,lateral,2,2,0,0.09
subj05,lateral,2,2,1,0.03571428571428571
subj05,lateral,2,2,2,0.06571428571428571
subj05,lateral,2,2,3,0.1957142857142857
subj05,lateral,2,2,4,0.08142857142857143
subj05,lateral,2,2,5,0.25142857142857145
subj05,lateral,4,1,0,0.14875
subj05,lateral,4,1,1,0.04125
subj05,lateral,4,1,2,0.06875
subj05,lateral,4,1,3,0.12
subj05,lateral,4,1,4,0.14625
subj05,lateral,4,1,5,0.285
subj05,lateral,6,1,0,0.37875
subj05,lateral,6,1,1,0.16125
subj05,lateral,6,1,2,0.2
subj05,lateral,6,1,3,0.19625
subj05,lateral,6,1,4,0.32
subj05,lateral,6,1,5,0.4625
subj05,lateral,2,4,0,0.4765714285714286
subj05,lateral,2,4,1,0.2948571428571429
subj05,lateral,2,4,2,0.23885714285714285
subj05,lateral,2,4,3,0.4777142857142857
subj05,lateral,2,4,4,0.3325714285714286
subj05,lateral,2,4,5,0.6971428571428572
subj05,lateral,4,2,0,0.5339285714285714
subj05,lateral,4,2,1,0.2839285714285714
subj05,lateral,4,2,2,0.2892857142857143
subj05,lateral,4,2,3,0.42928571428571427
subj05,lateral,4,2,4,0.4942857142857143
subj05,lateral,4,2,5,0.7160714285714286
subj05,lateral,8,1,0,0.54
subj05,lateral,8,1,1,0.19
subj05,lateral,8,1,2,0.265
subj05,lateral,8,1,3,0.225
subj05,lateral,8,1,4,0.425
subj05,lateral,8,1,5,0.49
subj05,lateral,10,8,0,1.0
subj05,lateral,10,8,1,1.0
subj05,lateral,10,8,2,1.0
subj05,lateral,10,8,3,1.0
subj05,lateral,10,8,4,1.0
subj05,lateral,10,8,5,1.0
subj06,lateral,2,1,0,0.005
subj06,lateral,2,1,1,0.025
subj06,lateral,2,1,2,0.0
subj06,lateral,2,1,3,0.005
subj06,lateral,2,1,4,0.005
subj06,lateral,2,1,5,0.005
subj06,lateral,2,2,0,0.07285714285714286
subj06,lateral,2,2,1,0.28
subj06,lateral,2,2,2,0.08
subj06,lateral,2,2,3,0.09571428571428571
subj06,lateral,2,2,4,0.12142857142857143
subj06,lateral,2,2,5,0.15
subj06,lateral,4,1,0,0.1125
subj06,lateral,4,1,1,0.22
subj06,lateral,4,1,2,0.08125
subj06,lateral,4,1,3,0.1475
subj06,lateral,4,1,4,0.12625
subj06,lateral,4,1,5,0.13
subj06,lateral,6,1,0,0.345
subj06,lateral,6,1,1,0.45875
subj06,lateral,6,1,2,0.25625
subj06,lateral,6,1,3,0.445
subj06,lateral,6,1,4,0.37875
subj06,lateral,6,1,5,0.33125
subj06,lateral,2,4,0,0.468
subj06,lateral,2,4,1,0.844
subj06,lateral,2,4,2,0.3457142857142857
subj06,lateral,2,4,3,0.30114285714285716
subj06,lateral,2,4,4,0.7102857142857143
subj06,lateral,2,4,5,0.596
subj06,lateral,4,2,0,0.5575
subj06,lateral,4,2,1,0.7725
subj06,lateral,4,2,2,0.4010714285714286
subj06,lateral,4,2,3,0.44142857142857145
subj06,lateral,4,2,4,0.6882142857142857
subj06,lateral,4,2,5,0.6085714285714285
subj06,lateral,8,1,0,0.485
subj06,lateral,8,1,1,0.605
subj06,lateral,8,1,2,0.42
subj06,lateral,8,1,3,0.59
subj06,lateral,8,1,4,0.55
subj06,lateral,8,1,5,0.53
subj06,lateral,10,8,0,1.0
subj06,lateral,10,8,1,1.0
subj06,lateral,10,8,2,1.0
subj06,lateral,10,8,3,1.0
subj06,lateral,10,8,4,1.0
subj06,lateral,10,8,5,1.0
subj07,lateral,2,1,0,0.145
subj07,lateral,2,1,1,0.055
subj07,lateral,2,1,2,0.05
subj07,lateral,2,1,3,0.24
subj07,lateral,2,1,4,0.165
subj07,lateral,2,1,5,0.15
subj07,lateral,2,2,0,0.4742857142857143
subj07,lateral,2,2,1,0.2914285714285714
subj07,lateral,2,2,2,0.2542857142857143
subj07,lateral,2,2,3,0.5342857142857143
subj07,lateral,2,2,4,0.5014285714285714
subj07,lateral,2,2,5,0.3985714285714286
subj07,lateral,4,1,0,0.53625
subj07,lateral,4,1,1,0.32625
subj07,lateral,4,1,2,0.35
subj07,lateral,4,1,3,0.64125
subj07,lateral,4,1,4,0.54125
subj07,lateral,4,1,5,0.4625
subj07,lateral,6,1,0,0.8525
subj07,lateral,6,1,1,0.6
subj07,lateral,6,1,2,0.68125
subj07,lateral,6,1,3,0.87625
subj07,lateral,6,1,4,0.8175
subj07,lateral,6,1,5,0.71
subj07,lateral,2,4,0,0.9291428571428572
