subject,roi,M,T,SIM_prior_oracle_IN,SIM_hybrid_oracle_IN,PRIOR_ALIGNMENT_IN,SIM_prior_oracle_OUT,SIM_hybrid_oracle_OUT,PRIOR_ALIGNMENT_OUT
subj01,lateral,2,2,0.7396919897386076,0.7590268596361702,0.9155926002403378,0.010213373454789749,0.4103083863098978,0.08132127345786977
subj01,lateral,4,1,0.7396919897386076,0.7760054087079865,0.8665732179591661,0.01021337345478975,0.3719441114529601,0.029176601654291773
subj01,lateral,6,1,0.7396919897386076,0.7964755595688934,0.8296549081837344,0.01021337345478975,0.432450947265842,0.02252696633846732
subj01,lateral,4,2,0.7396919897386077,0.7795196006860117,0.8719913973891229,0.010213373454789749,0.5419677005324948,0.03091834166882456
subj01,lateral,10,8,0.7396919897386077,0.8629851736164692,0.848090020535373,0.01021337345478975,0.9993327284473157,0.015095320433176117
subj02,lateral,2,1,0.7305283437568963,0.7480777189218705,0.913364240366706,0.003035086874426864,0.2747836960920699,0.048703889971377555
subj02,lateral,2,2,0.7305283437568961,0.750896386129852,0.9095103042049149,0.003035086874426864,0.3978930239738611,0.04554682307584787
subj02,lateral,4,1,0.7305283437568962,0.7701513525281856,0.8512693014541425,0.0030350868744268636,0.3648686947257887,0.01693293101962411
subj02,lateral,6,1,0.7305283437568962,0.796744664720047,0.8059015171953098,0.0030350868744268636,0.4232696035601206,0.011852809974423182
subj02,lateral,4,2,0.7305283437568961,0.7768104440312746,0.8471766927014175,0.0030350868744268645,0.5182507374348113,0.01404700143351019
subj02,lateral,10,8,0.7305283437568962,0.9506902284897555,0.7848354270969057,0.003035086874426864,0.9998493968400716,0.004376413322155859
subj03,lateral,2,1,0.7660906058408251,0.7915265639399718,0.9311307104674068,0.006009680069670769,0.26392274227997664,0.060367303271953825
subj03,lateral,2,2,0.766090605840825,0.7955984314644373,0.9299119706715524,0.006009680069670769,0.3877699750847687,0.06928741862551342
subj03,lateral,4,1,0.7660906058408252,0.8111377789652318,0.8878923289829189,0.006009680069670769,0.3596861265424193,0.025553941353009323
subj03,lateral,6,1,0.7660906058408252,0.8299992071242389,0.8564131555891912,0.006009680069670769,0.4231887704773806,0.017521053012332807
subj03,lateral,4,2,0.766090605840825,0.8181034081145261,0.89104903920072,0.006009680069670768,0.5303746934080668,0.023689046220524975
subj03,lateral,10,8,0.7660906058408251,0.9416785068773508,0.8444333824873275,0.006009680069670769,0.9997993461060349,0.008077117508536479
subj04,lateral,2,1,0.8087357988890386,0.8368122855900268,0.9338546053260894,0.010162235764118305,0.23050717483847868,0.11936037752460078
subj04,lateral,2,2,0.8087357988890383,0.8446482657855789,0.9262410271082473,0.010162235764118304,0.3308838866550194,0.11048098584967236
subj04,lateral,4,1,0.8087357988890385,0.8482922906294436,0.8905725706813269,0.010162235764118304,0.28793803637276827,0.041481096265688765
subj04,lateral,6,1,0.8087357988890385,0.8510700908219079,0.8569749501674297,0.010162235764118304,0.3247183148438633,0.023696645747180764
subj04,lateral,4,2,0.8087357988890386,0.8605310337013296,0.8866734763778032,0.010162235764118304,0.42079021366726,0.033962840337188493
subj04,lateral,10,8,0.8087357988890383,0.9748966451134854,0.8554839643184461,0.010162235764118307,0.9991577961104178,0.015658052840429863
subj05,lateral,2,1,0.7698588116776305,0.78215537062674,0.9361551608652808,0.0066526875244784745,0.1933243062052834,0.05691103915551699
