participant,ROI,fold,TV_vis,TV_img,alignment_ratio,alignment_evaluable,align_d,null_mean,null_p05,null_p95,alignment_empirical_percentile
subj06,V1,fold_2,7.776630515278619,6.161003270781399,0.7922458523234422,True,1.0,0.10667011228295817,0.010765613682011845,0.3503912574489434,0.95
subj06,V1,fold_3,30.615850600689104,9.419312518920472,0.3076613040014136,True,4.0,0.2558529244302866,0.03659324889247562,0.9541574252404307,0.78
subj06,V2,fold_0,18.469174645187337,21.968077446761605,1.1894455420337913,True,9.0,0.6876991724368835,0.420817210875272,0.9840901181442313,1.0
subj06,V2,fold_1,7.343728314424843,4.409741793712384,0.6004772514596699,True,1.0,0.15879206627923126,0.023826439257538874,1.0,0.92
subj06,V2,fold_2,5.668233559214713,9.919665701591118,1.7500453356345829,True,1.0,0.1560144802181213,0.03151701571192101,0.761201905004786,1.0
subj06,V2,fold_3,24.06435590995322,16.291527013293496,0.676998257267097,True,4.0,0.26240686536394586,0.05293762277732152,0.9770554971968016,0.82
subj06,V3,fold_0,15.637692240924299,17.3465814957467,1.1092801436742814,True,11.0,0.7022983985217174,0.382944815031393,1.048716585933855,0.96
subj06,V3,fold_1,2.398530923845642,8.765904971576795,3.6546975002190663,True,1.0,0.6490359383200679,0.18002171223092714,1.699116434041955,1.0
subj06,V3,fold_2,15.213760055706981,10.941031115640305,0.7191536527182252,True,12.0,0.656006771448026,0.3799281971086068,0.9465302347177982,0.53
subj06,V3,fold_3,16.61953140491047,9.859200560382497,0.5932297560128236,True,3.0,0.2522424409974788,0.08967448129004661,0.9752838008440041,0.92
subj06,hV4,fold_0,9.866311127323977,5.353002377377114,0.542553575322837,True,5.0,0.64114766530369,0.2644238698741974,1.0802666825133782,0.48
subj06,hV4,fold_1,5.888032805445202,5.2481440671109505,0.8913238496663116,True,5.0,0.7939127276311282,0.40047886015522133,1.1643498567268598,0.57
subj06,hV4,fold_2,7.212984837376769,3.8926597448866476,0.5396739120697135,True,3.0,0.4311637200430443,0.1079968287203081,0.9185402209553356,0.64
subj06,hV4,fold_3,6.513188861377943,3.9700291289198977,0.6095369278267774,True,3.0,0.644814138731746,0.17926063947800772,1.3637417842520683,0.45
subj06,ventral,fold_0,75.69364287461913,43.816905149845866,0.5788716659128865,True,3.0,0.11035717406709773,0.020163261112350787,0.5572903822760884,0.98
subj06,ventral,fold_1,97.25182128962035,75.1026178044402,0.7722489595416541,True,12.0,0.37804512118992806,0.12399989546338379,0.8400368106857724,0.9
subj06,ventral,fold_2,10.031077595059198,32.33557769548126,3.2235397831443486,True,1.0,0.21399646412071827,0.05177390709936756,0.5049026794717729,1.0
subj06,ventral,fold_3,106.72354864721169,80.66882331656792,0.755867138406623,True,2.0,0.06749623851341303,0.008195133945959067,0.2237689340030411,0.95
subj06,lateral,fold_0,62.02959447402674,56.25252580452098,0.9068659287797738,True,2.0,0.047234844924156534,0.012321240244846317,0.138737185104011,1.0
subj06,lateral,fold_1,56.34868095670555,63.09075777961793,1.1196492394931574,True,2.0,0.05864907307233312,0.013599248122074468,0.20964210781035636,1.0
subj06,lateral,fold_2,31.109810824881794,64.6979473857653,2.0796637996274647,True,1.0,0.05563177691061774,0.011081303181130488,0.08014675710556315,1.0
subj06,lateral,fold_3,103.28728777613671,108.60006253316612,1.0514368696421212,True,11.0,0.30776063765518824,0.09848602363846279,0.8329491593291495,1.0
subj06,parietal,fold_0,4.86711385169293,12.979260622946152,2.666726322506627,True,1.0,0.29463802344763546,0.06411814258491556,1.0,1.0
subj06,parietal,fold_1,46.779375361494125,39.6360093494612,0.8472966781443408,True,11.0,0.3482666414511721,0.09991876212957611,0.7791054197900886,1.0
subj06,parietal,fold_2,35.65927571697588,21.153891741024335,0.5932226977609043,True,10.0,0.28301379912581237,0.1131566988991111,0.6616921546872901,0.94
subj06,parietal,fold_3,45.20090076353017,31.321899249166425,0.6929485634153145,True,10.0,0.253743159414963,0.09132394842511729,0.7944518836817107,0.83
subj07,V1,fold_0,16.345258870159498,10.944347196100791,0.669573194468103,True,9.0,0.5169945060120795,0.1500924495917688,0.9872465955845207,0.6
subj07,V1,fold_1,17.7315265401353,10.747558945039836,0.60612711041617,True,12.0,0.6594585497600085,0.2537184913741108,0.9687918932854074,0.4
subj07,V1,fold_2,16.438260275537623,11.061663015747246,0.6729217587708178,True,1.0,0.04670481762826219,0.008293597974842554,0.16781214338985803,1.0
subj07,V1,fold_3,,,,False,,,,,
subj07,V2,fold_0,11.624116909934353,8.001585220918503,0.6883606972397263,True,3.0,0.2217804939060169,0.06244964817241966,0.7129291370630941,0.92
subj07,V2,fold_1,,,,False,,,,,
subj07,V2,fold_2,20.499344646340155,14.473260742991052,0.7060352900391395,True,12.0,0.7243826322168558,0.34341331633759464,1.0395970305055413,0.43
subj07,V2,fold_3,11.92257318214163,11.297740212286943,0.9475924399616519,True,9.0,0.758204899187564,0.45857738320573954,1.0786160662321338,0.84
subj07,V3,fold_0,7.9883823383368355,7.372032338627868,0.9228442037944204,True,1.0,0.14921564744032298,0.012897229007451145,1.0,0.94
subj07,V3,fold_1,,,,False,,,,,
subj07,V3,fold_2,12.412069430425372,7.402013476049584,0.596356112696665,True,2.0,0.14667717660534849,0.029900786305466245,0.5835808752596104,0.98
subj07,V3,fold_3,5.008591677417076,6.036577966800699,1.2052445788341353,True,2.0,0.4078780859764977,0.10060320699451072,1.104381750467706,1.0
subj07,hV4,fold_0,,,,False,,,,,
subj07,hV4,fold_1,4.449130047018025,2.99042976641357,0.6721380887523998,True,5.0,0.7304973058280155,0.5039660112907343,0.9415267928902069,0.35
subj07,hV4,fold_2,,,,False,,,,,
subj07,hV4,fold_3,,,,False,,,,,
subj07,ventral,fold_0,31.029224803510758,17.900863507584617,0.5769033426049126,True,2.0,0.12548229840563965,0.02902837517160579,0.6401651092762584,0.91
subj07,ventral,fold_1,52.73814165679062,38.01084149150138,0.7207466986392583,True,8.0,0.22975996554388492,0.07421470605643618,0.5355898894690553,0.99
subj07,ventral,fold_2,28.390892984245554,25.19314837716366,0.8873672410073061,True,3.0,0.147843037622236,0.04260017338962342,0.43178566111711125,1.0
subj07,ventral,fold_3,54.206328727237214,41.92263973724442,0.7733901321411466,True,2.0,0.07360087073395166,0.012247577853317192,0.30410245070731273,1.0
subj07,lateral,fold_0,24.976202051275518,27.864464657412917,1.115640584593601,True,1.0,0.06197732202982432,0.011740727584143254,0.25575561156647214,1.0
subj07,lateral,fold_1,,,,False,,,,,
subj07,lateral,fold_2,21.654452463138412,22.913892608206346,1.0581607938234334,True,2.0,0.1859602843413435,0.03882071916450764,0.7816620196137509,1.0
subj07,lateral,fold_3,60.298461184815324,54.68889642576013,0.9069700179932979,True,12.0,0.38262366293636985,0.1473123447065995,0.7796945175199125,1.0
subj07,parietal,fold_0,31.69251733262776,25.971925969805053,0.8194970976024899,True,12.0,0.3779091837954972,0.16407071870120063,0.7325932822517762,0.98
subj07,parietal,fold_1,13.907839982938093,16.583416042561698,1.1923789792596087,True,1.0,0.07759577467022284,0.01140751771503018,0.1355955785421436,1.0
