participant,ROI,fold,n_voxels,d_vis,d_vis_reason,vis_peak_test_r,d_img,d_img_reason,img_peak_test_r,TV_vis,TV_img,alignment_ratio,alignment_evaluable,alignment_reason,align_d,null_mean,null_p05,null_p95,alignment_empirical_percentile,vis_projector_hash,img_projector_hash,v2v_r_model,v2i_r_model,dimension_ratio_fold
subj02,parietal,fold_1,68,10.0,OK,0.546766136377337,5.0,OK,0.20591013482921056,37.892889885177745,42.779638721566734,1.1289621575761764,True,OK,5.0,0.14177292762360133,0.04810060547622368,0.8459152927637009,1.0,f34bd49f1810c38b,6d04d8fc95f49c66,1,5,0.5
subj02,parietal,fold_2,68,9.0,OK,0.23169194138228794,1.0,OK,0.1949956041321778,21.764432263327006,14.532061120547937,0.6676976888128807,True,OK,1.0,0.051812205529694066,0.006587957853687738,0.10837091309607526,0.97,423ab1d9e6d23270,6130d82e04135433,1,1,0.1111111111111111
subj02,parietal,fold_3,68,1.0,OK,0.533392580331212,2.0,OK,0.28791961888147927,51.74328040326361,46.03337459452228,0.8896493271350228,True,OK,2.0,0.02633872909791053,0.005274457675509437,0.04101109380675772,0.99,79280edfb19cae7e,9b6e36b1461c11b7,11,10,2.0
subj03,V1,fold_0,26,1.0,OK,0.6479259036421321,1.0,OK,0.6253896594231964,28.29583620418962,32.99873142511156,1.1662044969084746,True,OK,1.0,0.01971863916655117,0.001607457139603533,0.053079778857770356,1.0,a084b8198deacde4,41407b0d369e80dd,3,12,1.0
subj03,V1,fold_1,26,4.0,OK,0.32976129266861665,8.0,OK,0.1852133241177881,19.96660451352347,20.3331006900151,1.0183554582975487,True,OK,8.0,0.3351067216658877,0.03391654609073466,0.9930395056336913,0.96,47c1e01c648a2196,43fbcc3e1ec26919,4,11,2.0
subj03,V1,fold_2,26,2.0,OK,0.6830996941391133,2.0,OK,0.5319434339931842,16.828054882806168,11.838887221041242,0.7035208349087012,True,OK,2.0,0.08781254341108263,0.005459178983140059,0.9189055175707029,0.93,22418e5225daeeea,e7450a1d5ce731c3,4,8,1.0
subj03,V1,fold_3,26,1.0,OK,0.7551235740193218,1.0,OK,0.3058792811123889,20.86195243842046,11.779719301143837,0.5646508559500736,True,OK,1.0,0.029547136358146004,0.0016879042839352456,0.03798364538442721,0.98,48f0599f60b286c7,12bae63935b9794e,6,2,1.0
subj03,V2,fold_0,23,3.0,OK,0.6155483809821032,9.0,OK,0.174028611805284,32.209495651185556,21.8243255153946,0.6775742703872887,True,OK,9.0,0.433733365846467,0.061926277458435215,0.9749411722227168,0.6,67b119c5abdccb7e,b02d68a276709e45,3,12,3.0
subj03,V2,fold_1,23,2.0,OK,0.658895888663763,1.0,OK,0.027529035472807967,15.834984978637882,14.06505439964924,0.8882265703834668,True,OK,1.0,0.11285559785361089,0.0071925577461798545,1.0,0.91,d60da8f20af97d6d,6f35c3deb4ceacb3,2,9,0.5
subj03,V2,fold_2,23,3.0,OK,0.550164958990644,1.0,OK,0.35727695434082996,9.352427667554817,5.805699181955614,0.6207692150452641,True,OK,1.0,0.07131956893016274,0.006092381134341463,0.2571399109798948,0.96,8880382765b75403,2115360371e93aa3,4,6,0.3333333333333333
subj03,V2,fold_3,23,2.0,OK,0.6232948947983459,11.0,OK,0.11850311091444929,22.10194620519394,15.51985137174241,0.7021938804690085,True,OK,11.0,0.4830366714034019,0.06639984185215674,0.9753630045364335,0.54,fd95446011fd13f9,192e0ccba19b52fa,5,6,5.5
subj03,V3,fold_0,19,1.0,OK,0.6507152764320706,10.0,OK,0.25577562624251154,20.0735477258673,18.508082509851427,0.9220135255912649,True,OK,10.0,0.7870558761429979,0.3590238472731106,1.2566328355622849,0.53,6dd3041679a29678,47f4b2e8282ecfa4,4,8,10.0
subj03,V3,fold_1,19,1.0,OK,0.27824465164888396,2.0,OK,0.030768199648524907,8.331791154279033,2.6631365129029674,0.3196355337753799,True,OK,2.0,0.25064560560876475,0.04891332052729923,1.0052570352611898,0.85,b8a63ac996584507,be64d9959c5e7522,7,3,2.0
subj03,V3,fold_2,19,1.0,OK,0.36648440067718663,1.0,OK,0.39487222069423966,5.632841253898905,3.749661099381967,0.6656784614312625,True,OK,1.0,0.14989071407121457,0.01815763396532693,1.0,0.94,2d3890a396f8cca3,3eb0ca6a56f3376f,2,3,1.0
subj03,V3,fold_3,19,6.0,OK,0.4383661294886356,10.0,OK,0.08372152481049007,16.243747742866113,15.15390271502308,0.9329067992747136,True,OK,10.0,0.5926776823179146,0.17115174209476358,1.0506917962459834,0.53,f5c12390a6a3fc69,e8599711d2187c80,1,1,1.6666666666666667
subj03,hV4,fold_0,9,2.0,OK,0.5487592947103399,9.0,OK,0.08973751816341585,12.252835504201062,12.25283550420105,0.999999999999999,True,OK,9.0,1.0,1.0,1.0000000000000002,0.0,fed6911c70906ddd,7de2c42cc329d108,2,6,4.5
subj03,hV4,fold_1,9,2.0,OK,0.3118578013979161,1.0,OK,0.19353571441926531,4.689702158956322,3.923556112933717,0.8366322593516027,True,OK,1.0,0.2511685361071521,0.04236088385005812,1.0,0.84,4d4bcb5a05ff750a,706241c2a02c0edd,1,1,0.5
subj03,hV4,fold_2,9,3.0,OK,0.29732016790224913,1.0,OK,0.15226523868524,3.544316313464491,3.520916965808681,0.9933980645105184,True,OK,1.0,0.24616666910990703,0.07793272345694115,1.0,0.87,6977ace87a2d472c,d1b2424685cff8bb,3,7,0.3333333333333333
