participant,ROI,fold,model,rank,test_r,val_r
subj05,V2,fold_3,vis2vis,9,0.6281945600479498,0.5712064940373321
subj05,V2,fold_3,vis2vis,10,0.6298388955522541,0.5715853005795147
subj05,V2,fold_3,vis2vis,11,0.6290530880282097,0.575591985730364
subj05,V2,fold_3,vis2vis,12,0.6270287407192275,0.575087069112656
subj05,V3,fold_0,vis2vis,1,0.28861283150438194,0.3697001540957473
subj05,V3,fold_0,vis2vis,2,0.22240856665277606,0.4248815645940798
subj05,V3,fold_0,vis2vis,3,0.2661868945854447,0.4326478953020709
subj05,V3,fold_0,vis2vis,4,0.2303190319743366,0.45574436122529877
subj05,V3,fold_0,vis2vis,5,0.24399536959482643,0.4621770951237516
subj05,V3,fold_0,vis2vis,6,0.24159434074544978,0.478372524148424
subj05,V3,fold_0,vis2vis,7,0.2622498860836804,0.4767158992742395
subj05,V3,fold_0,vis2vis,8,0.2633383679711371,0.4777367109621178
subj05,V3,fold_0,vis2vis,9,0.2611937867627681,0.4751468482698645
subj05,V3,fold_0,vis2vis,10,0.25161317318369725,0.4773204990004633
subj05,V3,fold_0,vis2vis,11,0.24671548200567886,0.47291302326486545
subj05,V3,fold_0,vis2vis,12,0.2489270006623583,0.4683152660853828
subj05,V3,fold_1,vis2vis,1,0.24491637104541994,0.5266802043579113
subj05,V3,fold_1,vis2vis,2,0.2515975246998772,0.5129679978340645
subj05,V3,fold_1,vis2vis,3,0.2313154627670462,0.4931885388849629
subj05,V3,fold_1,vis2vis,4,0.22004237134081228,0.5228570313903296
subj05,V3,fold_1,vis2vis,5,0.21857390137571264,0.5193054354810013
subj05,V3,fold_1,vis2vis,6,0.22939831024429833,0.5298787018973569
subj05,V3,fold_1,vis2vis,7,0.23889584751709836,0.580739379022183
subj05,V3,fold_1,vis2vis,8,0.24181267097608894,0.5813520139899362
subj05,V3,fold_1,vis2vis,9,0.24841453034204597,0.5872620692424766
subj05,V3,fold_1,vis2vis,10,0.24420403848222888,0.5875807068395931
subj05,V3,fold_1,vis2vis,11,0.245456826593901,0.587665181562599
subj05,V3,fold_1,vis2vis,12,0.25597781095797356,0.5889317226903722
subj05,V3,fold_2,vis2vis,1,0.3248124415640077,0.4942004719272374
subj05,V3,fold_2,vis2vis,2,0.1970977479726815,0.5301631324876945
subj05,V3,fold_2,vis2vis,3,0.20863078384138434,0.524095403587997
subj05,V3,fold_2,vis2vis,4,0.1890401924937881,0.522174892529569
subj05,V3,fold_2,vis2vis,5,0.16141681094436947,0.5816409280077612
subj05,V3,fold_2,vis2vis,6,0.15709311364079534,0.5822355361276452
subj05,V3,fold_2,vis2vis,7,0.15555724171101354,0.5820096257680775
subj05,V3,fold_2,vis2vis,8,0.2060911598184594,0.5917140682924689
subj05,V3,fold_2,vis2vis,9,0.2021735572728834,0.5909814942567664
subj05,V3,fold_2,vis2vis,10,0.2000836860041111,0.5927802967230416
subj05,V3,fold_2,vis2vis,11,0.20111939723740657,0.5916744066689876
subj05,V3,fold_2,vis2vis,12,0.19994774954626526,0.5914184917705239
subj05,V3,fold_3,vis2vis,1,0.4323845058112659,0.16061530897750967
subj05,V3,fold_3,vis2vis,2,0.4567683721023224,0.18979716340601932
subj05,V3,fold_3,vis2vis,3,0.4597804506758194,0.20742817182360082
subj05,V3,fold_3,vis2vis,4,0.45702491308066884,0.24052820095560246
subj05,V3,fold_3,vis2vis,5,0.45756818263734256,0.24633395748903805
subj05,V3,fold_3,vis2vis,6,0.4478624817069388,0.23433178530911997
subj05,V3,fold_3,vis2vis,7,0.44649958116599425,0.2335070401619313
subj05,V3,fold_3,vis2vis,8,0.4502263671706319,0.23844910567363703
subj05,V3,fold_3,vis2vis,9,0.44948213142451543,0.23911938535186583
subj05,V3,fold_3,vis2vis,10,0.4490256293158373,0.23879725861975903
subj05,V3,fold_3,vis2vis,11,0.4483411829181662,0.23806488837744275
subj05,V3,fold_3,vis2vis,12,0.44703885179347236,0.23802263266886262
subj05,hV4,fold_0,vis2vis,1,0.1059688783758475,0.21467263685891894
subj05,hV4,fold_0,vis2vis,2,0.12419732049376675,0.28873467625891863
subj05,hV4,fold_0,vis2vis,3,0.1725323336764137,0.3308644479279431
subj05,hV4,fold_0,vis2vis,4,0.1149466604318885,0.345374263151669
subj05,hV4,fold_0,vis2vis,5,0.11952154287780563,0.34288989988065227
subj05,hV4,fold_0,vis2vis,6,0.09206045063616325,0.33258768276533446
subj05,hV4,fold_0,vis2vis,7,0.09589015900977603,0.3250176383818477
subj05,hV4,fold_0,vis2vis,8,0.09594613849982436,0.3235736205398527
subj05,hV4,fold_0,vis2vis,9,0.0946148891381338,0.32301440669229775
subj05,hV4,fold_0,vis2vis,10,0.09521063257381107,0.3231217694780369
subj05,hV4,fold_0,vis2vis,11,0.09523248391266513,0.3231396125799209
subj05,hV4,fold_1,vis2vis,1,0.15646690242777625,0.05782254492552488
subj05,hV4,fold_1,vis2vis,2,-0.030608798833638474,-0.03341930739226105
subj05,hV4,fold_1,vis2vis,3,0.11127369211193852,0.027777983911764167
subj05,hV4,fold_1,vis2vis,4,0.12772844787590376,0.13211210475774152
subj05,hV4,fold_1,vis2vis,5,0.012042215394695134,0.22243286384756422
subj05,hV4,fold_1,vis2vis,6,0.025502338576617777,0.22421696350940737
subj05,hV4,fold_1,vis2vis,7,0.019259296402200202,0.20546512766019898
subj05,hV4,fold_1,vis2vis,8,0.019141350139044975,0.20523113575769258
subj05,hV4,fold_1,vis2vis,9,0.0179427112899702,0.2047012989562944
subj05,hV4,fold_1,vis2vis,10,0.018083354904268805,0.20441859617506902
subj05,hV4,fold_1,vis2vis,11,0.018065875582760706,0.2043749735720229
subj05,hV4,fold_2,vis2vis,1,0.10700747938075338,0.24345201544921932
subj05,hV4,fold_2,vis2vis,2,0.09696284683514321,0.24813972037410056
subj05,hV4,fold_2,vis2vis,3,0.19403379006259544,0.29550424009700527
subj05,hV4,fold_2,vis2vis,4,0.2002944980925174,0.2839431925188806
subj05,hV4,fold_2,vis2vis,5,0.19369776529488736,0.29805984188740536
subj05,hV4,fold_2,vis2vis,6,0.21272609168295323,0.3039704131870203
subj05,hV4,fold_2,vis2vis,7,0.22224479373892533,0.30397960302313887
subj05,hV4,fold_2,vis2vis,8,0.19554146741774436,0.3008491526527559
subj05,hV4,fold_2,vis2vis,9,0.19655517240331716,0.3062796751620913
subj05,hV4,fold_2,vis2vis,10,0.2016105305225762,0.3094831473287296
subj05,hV4,fold_2,vis2vis,11,0.201615928828609,0.3095629843103151
subj05,hV4,fold_3,vis2vis,1,0.23225406913296795,0.2726236588024167
subj05,hV4,fold_3,vis2vis,2,0.2215676407874607,0.1987449794224043
subj05,hV4,fold_3,vis2vis,3,0.23121006500199853,0.22079236127705057
subj05,hV4,fold_3,vis2vis,4,0.2477825094863677,0.21463738921901437
subj05,hV4,fold_3,vis2vis,5,0.24347173101090783,0.22121343100740995
subj05,hV4,fold_3,vis2vis,6,0.23618131625014913,0.22325326026641407
subj05,hV4,fold_3,vis2vis,7,0.24411066229894465,0.20749636518370196
subj05,hV4,fold_3,vis2vis,8,0.24689004157165748,0.20965954308038218
subj05,hV4,fold_3,vis2vis,9,0.24326565082968718,0.20901155002287597
subj05,hV4,fold_3,vis2vis,10,0.24459634000766597,0.20834883977582772
subj05,hV4,fold_3,vis2vis,11,0.24440661147643183,0.20852866710009918
subj05,ventral,fold_0,vis2vis,1,0.08528854309684368,0.2748282118370169
subj05,ventral,fold_0,vis2vis,2,0.11937659533693416,0.3673114761066542
subj05,ventral,fold_0,vis2vis,3,0.1265733480397911,0.36787710275156743
subj05,ventral,fold_0,vis2vis,4,0.12521161668541655,0.38020122129964296
subj05,ventral,fold_0,vis2vis,5,0.14143389866553982,0.39014475966076945
subj05,ventral,fold_0,vis2vis,6,0.13628527209915772,0.3847804900030766
