participant,ROI,outer_fold,identity,family,residual_norm
subj06,V3,0,B:B,naturalistic,1.1766544519843047
subj06,V3,1,A:H,simple,2.679623481307705
subj06,V3,1,B:C,naturalistic,2.5423736848360736
subj06,V3,2,A:L,simple,1.8458456731543542
subj06,V3,2,B:D,naturalistic,2.525415547679427
subj06,V3,3,A:P,simple,1.581824427803645
subj06,V3,3,B:K,naturalistic,1.8427095136387641
subj06,V3,4,A:R,simple,0.980389818899846
subj06,V3,4,B:T,naturalistic,1.380964313997912
subj06,V3,5,A:V,simple,1.4375616938028803
subj06,V3,5,B:W,naturalistic,2.3639312445064373
subj06,hV4,0,A:E,simple,1.5661336007401097
subj06,hV4,0,B:B,naturalistic,0.5119987000365147
subj06,hV4,1,A:H,simple,1.032902853888258
subj06,hV4,1,B:C,naturalistic,0.8413709939015548
subj06,hV4,2,A:L,simple,0.9833711726257318
subj06,hV4,2,B:D,naturalistic,1.264482506897641
subj06,hV4,3,A:P,simple,1.2917933802696615
subj06,hV4,3,B:K,naturalistic,0.6749756545970614
subj06,hV4,4,A:R,simple,1.4664924896763343
subj06,hV4,4,B:T,naturalistic,1.1219056388232407
subj06,hV4,5,A:V,simple,1.3572217712608354
subj06,hV4,5,B:W,naturalistic,1.2959249451139987
subj06,ventral,0,A:E,simple,11.899287759930385
subj06,ventral,0,B:B,naturalistic,9.416807717508675
subj06,ventral,1,A:H,simple,9.174137120428048
subj06,ventral,1,B:C,naturalistic,14.883099416167987
subj06,ventral,2,A:L,simple,8.070407365148593
subj06,ventral,2,B:D,naturalistic,16.524261011117584
subj06,ventral,3,A:P,simple,9.182971285496619
subj06,ventral,3,B:K,naturalistic,8.630147993588016
subj06,ventral,4,A:R,simple,7.2607896459886865
subj06,ventral,4,B:T,naturalistic,9.486018323215498
subj06,ventral,5,A:V,simple,8.457741666234213
subj06,ventral,5,B:W,naturalistic,10.16174955390673
subj06,lateral,0,A:E,simple,21.0161494487574
subj06,lateral,0,B:B,naturalistic,12.25738484657843
subj06,lateral,1,A:H,simple,8.412390675297136
subj06,lateral,1,B:C,naturalistic,7.991222265989834
subj06,lateral,2,A:L,simple,8.254068346717089
subj06,lateral,2,B:D,naturalistic,28.216395966892925
subj06,lateral,3,A:P,simple,9.63610654947132
subj06,lateral,3,B:K,naturalistic,16.99607680303531
subj06,lateral,4,A:R,simple,7.2646305782358445
subj06,lateral,4,B:T,naturalistic,7.603854374893214
subj06,lateral,5,A:V,simple,8.374969613205131
subj06,lateral,5,B:W,naturalistic,11.848737078007614
subj06,parietal,0,A:E,simple,14.25273076261803
subj06,parietal,0,B:B,naturalistic,6.752574016054464
subj06,parietal,1,A:H,simple,5.403073089423831
subj06,parietal,1,B:C,naturalistic,15.388258979062533
subj06,parietal,2,A:L,simple,4.92977355260464
subj06,parietal,2,B:D,naturalistic,10.568166053876917
subj06,parietal,3,A:P,simple,8.466161929107935
subj06,parietal,3,B:K,naturalistic,8.007747305570826
subj06,parietal,4,A:R,simple,5.559514135847917
subj06,parietal,4,B:T,naturalistic,3.9597274189384155
subj06,parietal,5,A:V,simple,4.620610500352828
subj06,parietal,5,B:W,naturalistic,5.3082572458415695
subj07,V1,0,A:E,simple,1.2176503577805289
subj07,V1,0,B:B,naturalistic,1.9508481393710875
subj07,V1,1,A:H,simple,0.8983171331286844
subj07,V1,1,B:C,naturalistic,1.391480964551902
subj07,V1,2,A:L,simple,0.8880775417634892
subj07,V1,2,B:D,naturalistic,0.7775431864364394
subj07,V1,3,A:P,simple,0.9215781834999851
subj07,V1,3,B:K,naturalistic,0.9418323622783454
subj07,V1,4,A:R,simple,1.7830465563757552
subj07,V1,4,B:T,naturalistic,5.475769837478344
subj07,V1,5,A:V,simple,0.925485532645304
subj07,V1,5,B:W,naturalistic,2.0907308920240886
subj07,V2,0,A:E,simple,1.7370215992237723
subj07,V2,0,B:B,naturalistic,2.930488548540164
subj07,V2,1,A:H,simple,1.9079731177673063
subj07,V2,1,B:C,naturalistic,2.3889673336973294
subj07,V2,2,A:L,simple,2.7827387349756423
subj07,V2,2,B:D,naturalistic,0.941814123242886
subj07,V2,3,A:P,simple,1.0490610760472312
