participant,ROI,model,held_out_r,classification
subj07,ventral,O0,0.6742914890249571,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj07,ventral,O1,0.688088059425354,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj07,ventral,O2,0.6971931134661039,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj07,ventral,O3,0.6148379847862295,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj07,ventral,O4,0.749914372288384,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj07,lateral,O0,0.7220428188641866,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj07,lateral,O1,0.7211845268805822,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj07,lateral,O2,0.7213504860798517,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj07,lateral,O3,0.6261265494564557,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj07,lateral,O4,0.8252352837617681,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj07,parietal,O0,0.7797199139992396,GLOBAL_GAIN_SUFFICIENT
subj07,parietal,O1,0.7776327679554621,GLOBAL_GAIN_SUFFICIENT
subj07,parietal,O2,0.7826588352521261,GLOBAL_GAIN_SUFFICIENT
subj07,parietal,O3,0.6713270860504568,GLOBAL_GAIN_SUFFICIENT
subj07,parietal,O4,0.7969764090988982,GLOBAL_GAIN_SUFFICIENT
subj08,V1,O0,0.445945611068358,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,V1,O1,0.4364001943419377,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,V1,O2,0.485062736319378,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,V1,O3,0.4832576004021718,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,V1,O4,0.5776279143048516,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,V2,O0,0.616272841890653,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,V2,O1,0.6198527713616689,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,V2,O2,0.607166146238645,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,V2,O3,0.48333996150071973,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,V2,O4,0.585716500540229,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,V3,O0,0.8834211826324463,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,V3,O1,0.880174512664477,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,V3,O2,0.8845437665780386,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,V3,O3,0.804023836814807,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,V3,O4,0.8688802478170669,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,hV4,O0,0.7746186256408691,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,hV4,O1,0.7607314189275106,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,hV4,O2,0.7691673934459686,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,hV4,O3,0.5944204717669965,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,hV4,O4,0.7025898533716791,NO_REUSABLE_OPERATOR_EVIDENCE
subj08,ventral,O0,0.4665896110236645,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,ventral,O1,0.4475255310535431,FULL_CROSS_VOXEL_OPERATOR_NEEDED
