query_nsd_id,anchor_nsd_id,gt_rank,bucket,confidence,strength,guidance_scale,steps,n_candidates,retrieval_pixcorr,retrieval_ssim,retrieval_psnr,retrieval_lpips,retrieval_clip_image_similarity,retrieval_alexnet2,retrieval_alexnet5,diffusion_pixcorr,diffusion_ssim,diffusion_psnr,diffusion_lpips,diffusion_clip_image_similarity,diffusion_alexnet2,diffusion_alexnet5,delta_pixcorr,delta_ssim,delta_psnr,delta_lpips,delta_clip_image_similarity,delta_alexnet2,delta_alexnet5
12937,56751,2,good,0.05483180284500122,0.2836,3.25,48,16,0.2976775866773616,0.21195638179779053,8.466721340434267,0.7115010023117065,0.8386834263801575,0.36063480377197266,0.3635300099849701,0.29406269018795583,0.23229743540287018,8.504217492394913,0.7132078409194946,0.8327821493148804,0.36244678497314453,0.3670715093612671,-0.0036148964894057722,0.02034105360507965,0.03749615196064582,0.001706838607788086,-0.0059012770652771,0.001811981201171875,0.003541499376296997
14594,4325,2,good,0.17919999361038208,0.2462,3.81,44,16,-0.09500283671375861,0.24167121946811676,8.049444054315275,0.8069808483123779,0.7590976357460022,0.41990038752555847,0.2812516689300537,-0.09904049676634911,0.24802452325820923,8.11664613402965,0.8085377216339111,0.7585870027542114,0.42390596866607666,0.29040759801864624,-0.0040376600525905,0.006353303790092468,0.06720207971437553,0.0015568733215332031,-0.0005106329917907715,0.0040055811405181885,0.00915592908859253
14644,28096,2,good,0.07529330253601074,0.2774,3.34,47,16,0.4864870777022978,0.28092581033706665,9.407510694543578,0.7377161979675293,0.76180499792099,0.4731242060661316,0.3494775593280792,0.49273057626936145,0.29265132546424866,9.534444879496307,0.7098021507263184,0.7561745047569275,0.47791382670402527,0.3773356080055237,0.006243498567063632,0.011725515127182007,0.126934184952729,-0.027914047241210938,-0.0056304931640625,0.004789620637893677,0.027858048677444458
15819,28068,4,good,0.1551784873008728,0.2534,3.7,45,16,-0.05224247315345709,0.12131430953741074,9.290721995468639,0.5830224752426147,0.7828768491744995,0.4820071756839752,0.4396147131919861,-0.056158383634002315,0.1361703723669052,9.382136908997582,0.5935024619102478,0.8378854990005493,0.4825194776058197,0.4477960467338562,-0.003915910480545223,0.014856062829494476,0.09141491352894349,0.010479986667633057,0.055008649826049805,0.0005123019218444824,0.008181333541870117
16063,11159,2,good,0.01577049493789673,0.2953,3.07,49,16,0.3091015478349684,0.09714706987142563,11.587248345783806,0.6298447847366333,0.8125876188278198,0.6622737646102905,0.5424380302429199,0.316683376986794,0.10528003424406052,11.684505333104784,0.6126289963722229,0.7913499474525452,0.664197564125061,0.5321915149688721,0.007581829151825592,0.008132964372634888,0.09725698732097854,-0.0172157883644104,-0.021237671375274658,0.0019237995147705078,-0.010246515274047852
16421,61122,4,good,0.038102686405181885,0.2886,3.17,48,16,0.14688031224120562,0.15276898443698883,10.357541572814256,0.7075464725494385,0.7513810992240906,0.43946120142936707,0.23629863560199738,0.13988986502059486,0.15959642827510834,10.46994298712792,0.7002500295639038,0.7522281408309937,0.44430261850357056,0.2382853627204895,-0.006990447220610763,0.006827443838119507,0.11240141431366446,-0.007296442985534668,0.0008470416069030762,0.004841417074203491,0.0019867271184921265
16917,12634,2,good,0.0668177604675293,0.28,3.3,47,16,0.4483438341485306,0.22378599643707275,9.28346290098305,0.7108359336853027,0.7270728945732117,0.3922848701477051,0.2751282751560211,0.44948119017428656,0.23610036075115204,9.353038967585409,0.7108433842658997,0.7618654370307922,0.3948178291320801,0.28103315830230713,0.0011373560257559867,0.012314364314079285,0.06957606660235882,7.450580596923828e-06,0.034792542457580566,0.002532958984375,0.005904883146286011
17048,37736,3,good,0.015576064586639404,0.2953,3.07,49,16,0.44072837594097736,0.28552529215812683,12.2704008986947,0.6350470185279846,0.6579868793487549,0.49325454235076904,0.4290107488632202,0.44401515466641917,0.3053865134716034,12.378573703042651,0.6239597201347351,0.6481436491012573,0.4936218559741974,0.42897674441337585,0.003286778725441808,0.019861221313476562,0.10817280434795151,-0.011087298393249512,-0.009843230247497559,0.0003673136234283447,-3.400444984436035e-05
17230,57443,3,good,0.1125994324684143,0.2662,3.51,46,16,0.30139482868703815,0.2205955535173416,8.052419705695732,0.6687144041061401,0.7211259007453918,0.4590558707714081,0.34573084115982056,0.2991087581042311,0.2243373990058899,8.090704625447747,0.6630999445915222,0.7152343988418579,0.45261651277542114,0.34603971242904663,-0.0022860705828070538,0.003741845488548279,0.03828491975201587,-0.00561445951461792,-0.0058915019035339355,-0.0064393579959869385,0.0003088712692260742
17369,47687,4,good,0.061928749084472656,0.2814,3.28,48,16,0.03281680204024922,0.10655346512794495,7.842938055628138,0.6526373028755188,0.4809621274471283,0.3826446533203125,0.42118436098098755,0.029885979705309464,0.11239317804574966,7.879101850470858,0.6605557799339294,0.49346598982810974,0.3917176425457001,0.41916775703430176,-0.002930822334939756,0.005839712917804718,0.03616379484271981,0.007918477058410645,0.012503862380981445,0.009072989225387573,-0.002016603946685791
