subject,roi,fold,component,median_Q_success,median_Q_fail
subj06,lateral,1,IN,0.6236742024712965,0.5850875223211754
subj06,lateral,1,OUT,0.3518000172615055,0.2551145316641284
subj06,lateral,2,IN,0.6312057038982881,0.6150832353971576
subj06,lateral,2,OUT,0.3133079073226638,0.29300664446484187
subj06,lateral,3,IN,0.6285958020884674,0.610696050179801
subj06,lateral,3,OUT,0.3346207797271973,0.3105969179524869
subj06,lateral,4,IN,0.6403627403040013,0.6053832145139465
subj06,lateral,4,OUT,0.3544303927897615,0.270901138012047
subj06,lateral,5,IN,0.6363799175957126,0.613405460351444
subj06,lateral,5,OUT,0.35503910918922765,0.268712650847272
subj07,lateral,0,IN,0.5889463277018427,0.5580070018893377
subj07,lateral,0,OUT,0.42879324565377086,0.29880016857809244
subj07,lateral,1,IN,0.5970640622138388,0.5811918216632517
subj07,lateral,1,OUT,0.43432894029748,0.3377131377154913
subj07,lateral,2,IN,0.5924577160268452,0.5586944135470915
subj07,lateral,2,OUT,0.4573340369556902,0.329938884765551
subj07,lateral,3,IN,0.5935669967221027,0.5602738568146469
subj07,lateral,3,OUT,0.4439460372877172,0.2946075160636388
subj07,lateral,4,IN,0.5825166636477936,0.5543999292740565
subj07,lateral,4,OUT,0.43226132701489983,0.30784536418511654
subj07,lateral,5,IN,0.6009341758203302,0.5862231574399392
subj07,lateral,5,OUT,0.411932512306888,0.28691218078753833
subj08,lateral,0,IN,0.45557124236327995,0.4085075045499389
subj08,lateral,0,OUT,0.30941861941832827,0.2397531995390212
subj08,lateral,1,IN,0.43838619389103806,0.4249887369861415
subj08,lateral,1,OUT,0.29578321764968557,0.2558315812349989
subj08,lateral,2,IN,0.4431311932319856,0.40867769331983383
subj08,lateral,2,OUT,0.3434399617398527,0.2720353421262545
subj08,lateral,3,IN,0.4754016874454615,0.42245400195454186
subj08,lateral,3,OUT,0.36082255747874903,0.26535896923437663
subj08,lateral,4,IN,0.4427340319271561,0.4439741046668714
subj08,lateral,4,OUT,0.38622581582698257,0.31538406510890105
subj08,lateral,5,IN,0.44700532523930503,0.4255613496907118
subj08,lateral,5,OUT,0.29388777281602263,0.2645282017362017
