subject,roi,family,component,fold,SIM_PRIOR,SIM_CORR,SIM_NULL_mean,E_GEOM
subj01,lateral,anatomy,IN,2,0.5724517032018955,0.3667112650087967,0.3669920652040709,-0.0002808001952742112
subj01,lateral,anatomy,IN,3,0.5362189440142063,0.3706345128525855,0.37362798946245085,-0.0029934766098653753
subj01,lateral,anatomy,IN,4,0.5258231834642405,0.3667728068537088,0.3673230111882244,-0.000550204334515636
subj01,lateral,anatomy,IN,5,0.5584812032232304,0.3710138008285784,0.37450734648909206,-0.003493545660513686
subj01,lateral,anatomy,OUT,0,0.3452884655855399,0.2508270624575013,0.2201399211189701,0.030687141338531204
subj01,lateral,anatomy,OUT,1,0.3862533818122524,0.3302531055715492,0.2980017781946888,0.03225132737686037
subj01,lateral,anatomy,OUT,2,0.37788812925693815,0.2951141999329047,0.2852284514125762,0.00988574852032853
subj01,lateral,anatomy,OUT,3,0.3760818145424239,0.3121725669447641,0.2971003697537871,0.015072197190976966
subj01,lateral,anatomy,OUT,4,0.3573246214192582,0.2575417042601093,0.2571070212272772,0.0004346830328321172
subj01,lateral,anatomy,OUT,5,0.3510751082428025,0.2773981965890364,0.2533107455554459,0.0240874510335905
subj01,lateral,behavior,IN,0,0.538751562494053,0.34190141505069316,0.349035015532137,-0.007133600481443847
subj01,lateral,behavior,IN,1,0.5364612724800902,0.35799153365698433,0.33485140067098307,0.02314013298600126
subj01,lateral,behavior,IN,2,0.5724517032018955,0.36876383795384465,0.33935745139217033,0.029406386561674325
subj01,lateral,behavior,IN,3,0.5362189440142063,0.35810933369690806,0.3437946561289248,0.01431467756798327
subj01,lateral,behavior,IN,4,0.5258231834642405,0.3527697501142984,0.34432063276118663,0.008449117353111768
subj01,lateral,behavior,IN,5,0.5584812032232304,0.34240885963784556,0.3524995296809469,-0.010090670043101324
subj01,lateral,behavior,OUT,0,0.3452884655855399,0.2644443973753691,0.15470109453096423,0.1097433028444049
subj01,lateral,behavior,OUT,1,0.3862533818122524,0.3309827479140497,0.24972966267312938,0.08125308524092031
subj01,lateral,behavior,OUT,2,0.37788812925693815,0.31324597079984684,0.23454473237214213,0.07870123842770471
subj01,lateral,behavior,OUT,3,0.3760818145424239,0.3207872536442053,0.24026471013782058,0.08052254350638471
subj01,lateral,behavior,OUT,4,0.3573246214192582,0.2954737196457553,0.2005998735386704,0.09487384610708491
subj01,lateral,behavior,OUT,5,0.3510751082428025,0.29270271158893973,0.19211768081604003,0.10058503077289971
subj02,lateral,anatomy,IN,0,0.5178236141538901,0.34604233179538096,0.31987135340128525,0.026170978394095712
subj02,lateral,anatomy,IN,1,0.5197772671400717,0.3589622990203312,0.3162890261291269,0.04267327289120432
subj02,lateral,anatomy,IN,2,0.5713813164600409,0.38455839004347697,0.3421315778084948,0.04242681223498218
subj02,lateral,anatomy,IN,3,0.5142163625039845,0.2861092453022927,0.3327656944953694,-0.04665644919307671
subj02,lateral,anatomy,IN,4,0.514503200056884,0.36252176733355584,0.3303792064421645,0.032142560891391336
subj02,lateral,anatomy,IN,5,0.5097046630887403,0.3548933437272041,0.3085552435914186,0.04633810013578549
subj02,lateral,anatomy,OUT,0,0.364185779598353,0.21644398596090353,0.1714833956829168,0.04496059027798674
subj02,lateral,anatomy,OUT,1,0.3927407062217585,0.2850262819668624,0.2116754219080685,0.0733508600587939
subj02,lateral,anatomy,OUT,2,0.3774036911720002,0.1957381743643744,0.20850202836418677,-0.012763853999812363
subj02,lateral,anatomy,OUT,3,0.38828675090852355,0.2120581661155702,0.22688439716789818,-0.01482623105232797
subj02,lateral,anatomy,OUT,4,0.35739122984462884,0.10949622336702118,0.20932474376269236,-0.09982852039567118
subj02,lateral,anatomy,OUT,5,0.34977798747677386,0.13269553399270037,0.18718352277719874,-0.05448798878449837
subj02,lateral,behavior,IN,0,0.5178236141538901,0.338930274129827,0.3170706315239686,0.02185964260585843
subj02,lateral,behavior,IN,1,0.5197772671400717,0.3270685311130688,0.3212581248078479,0.00581040630522095
subj02,lateral,behavior,IN,2,0.5713813164600409,0.3780176322118986,0.3519983520404629,0.026019280171435677
subj02,lateral,behavior,IN,3,0.5142163625039845,0.34720920184467463,0.32122274411434476,0.02598645773032987
subj02,lateral,behavior,IN,4,0.514503200056884,0.3512473630867923,0.3436603332779945,0.007587029808797774
subj02,lateral,behavior,IN,5,0.5097046630887403,0.3288667422745662,0.32213879163762427,0.006727950636941926
subj02,lateral,behavior,OUT,0,0.364185779598353,0.26164707551700284,0.1613105509613105,0.10033652455569234
subj02,lateral,behavior,OUT,1,0.3927407062217585,0.3163869073243942,0.21630304070741666,0.10008386661697752
subj02,lateral,behavior,OUT,2,0.3774036911720002,0.2951804921737777,0.1983652075798869,0.09681528459389077
subj02,lateral,behavior,OUT,3,0.38828675090852355,0.3085139701431096,0.22048678681859712,0.08802718332451248
subj02,lateral,behavior,OUT,4,0.35739122984462884,0.28639988367777525,0.15937338009119306,0.12702650358658218
subj02,lateral,behavior,OUT,5,0.34977798747677386,0.2790113163254424,0.16453260061102465,0.11447871571441776
