ROI,target_subject,identity_fold,K,r_sel,predicted_residual_retention,oracle_retention,null_median,null_p95,oracle_recovery
V1,subj07,3,16,6,0.1286229962617367,0.3972822383193054,0.1399634859704455,0.2598319347362369,0.32375722812546
V1,subj07,4,16,6,0.1657252067892305,0.6326711762746531,0.2449722409548391,0.3734568901297669,0.261945245814844
V1,subj07,5,16,6,0.1925764602582322,0.8608404268654891,0.2607645070148737,0.5291720427794844,0.2237075005404263
V1,subj08,0,16,6,0.1340235313745872,0.5088191524676702,0.1981340430780115,0.335174627820573,0.2634011135874115
V1,subj08,1,16,6,0.0813137327357741,0.4750417460610169,0.1281760595406128,0.380296405159484,0.1711717620819998
V1,subj08,2,16,6,0.2693664466449739,0.5314923046418559,0.2029164156126019,0.3176602383354228,0.5068115648945951
V1,subj08,3,16,6,0.0373167888035915,0.4004919840664192,0.1470306002592946,0.2772892269242007,0.0931773675585047
V1,subj08,4,16,6,0.4903299127627046,0.7348092470818918,0.2859844673148666,0.4546575118490747,0.6672887075250145
V1,subj08,5,16,6,0.2654299989485618,0.5604136026170395,0.2110872980071914,0.3633248457829469,0.4736323274614451
V3,subj01,0,8,6,0.2299338785834216,0.2393734816217862,0.2286863027727935,0.236568665337238,0.9605653768562415
V3,subj01,1,8,6,0.0396080254375883,0.0441133613096825,0.0370765453071619,0.0430848482656739,0.897869132200876
V3,subj01,2,8,6,0.17121283920863,0.1821739793709722,0.159309140387117,0.1721794139332379,0.9398314720895384
V3,subj01,3,8,6,0.1422273020884968,0.1504664156446418,0.1406942688260542,0.1483331914249488,0.9452428402654094
V3,subj01,4,8,6,0.2179229428600593,0.2257589131426075,0.1916254220889773,0.2168397870930571,0.965290538595044
V3,subj01,5,8,6,0.1482880764807467,0.1612081923012249,0.131692729502954,0.1560518497781856,0.9198544711900472
V3,subj02,0,8,6,0.4354453378423686,0.4495190509899027,0.3309983412531531,0.4150186542368046,0.9686916202627188
V3,subj02,1,8,6,0.2210075062376515,0.3574876400704266,0.2611741433451271,0.3217712839417612,0.6182241886575773
V3,subj02,2,8,6,0.2486679959116522,0.4016621132859259,0.3119662614581225,0.3997972343468868,0.6190974644766565
V3,subj02,3,8,6,0.4609725510528709,0.6149446041399482,0.4834887015970516,0.5851642757620661,0.7496163848735282
V3,subj02,4,8,6,0.1107555709484205,0.1514594017477209,0.1359214700130938,0.1470189515405938,0.7312558327207779
V3,subj02,5,8,6,0.0718119388500036,0.0774456358849075,0.0582868361019301,0.0771868092976791,0.9272561071965858
V3,subj03,0,8,6,0.074107053734305,0.0752213254996569,0.0651323151496585,0.0747035257031604,0.9851867571071052
V3,subj03,1,8,6,0.1178656887436299,0.1733787194845104,0.1394268454821122,0.1730321262171738,0.6798163528607674
V3,subj03,2,8,6,0.1396489891766316,0.1587232178034476,0.1378224769871173,0.158126263404541,0.87982710475013
V3,subj03,3,8,6,0.4794110476877159,0.5457932744179615,0.3587844882784612,0.538569021692773,0.8783747806327658
V3,subj03,4,8,6,0.3343354766842477,0.3367992717008068,0.2526420899503845,0.3311570274741885,0.9926846783126426
V3,subj03,5,8,6,0.2489658483242336,0.2670581077921088,0.2295332614147657,0.2624562753986121,0.9322534724092364
V3,subj04,0,8,6,0.4018738393115023,0.4324332482695835,0.4106056156310623,0.4301347169710269,0.9293315001092836
V3,subj04,1,8,6,0.4436698394445812,0.5139980235674999,0.4821796923500682,0.5119076969039049,0.863174212938033
V3,subj04,2,8,6,0.1999282553767973,0.2462035276251475,0.1853571533304829,0.2444576043851452,0.8120446417047046
V3,subj04,3,8,6,0.217499981208586,0.2430237403168095,0.2313560717139951,0.2427315822258373,0.894974214967845
V3,subj04,4,8,6,0.2250696199115684,0.2427814829840659,0.2016028812304854,0.2339234974935152,0.9270460709985038
V3,subj04,5,8,6,0.4652645204747592,0.6373262507883753,0.4657097930366217,0.6137930254717534,0.7300256656606016
V3,subj05,0,8,6,0.3495824957548199,0.5362493956812265,0.4022566887681111,0.4836133836164561,0.6519028246376416
V3,subj05,1,8,6,0.2493209287627905,0.3276917979536651,0.2576358221738934,0.2991049106114639,0.7608396985207545
V3,subj05,2,8,6,0.1568767017546981,0.1824302339628157,0.1394862313112811,0.1708345066897938,0.8599270984143662
V3,subj05,3,8,6,0.0725446895645801,0.0759260356262442,0.0594402921107271,0.0718364437753985,0.955465262557508
V3,subj05,4,8,6,0.113315117658708,0.1237207253238837,0.0956801739095259,0.1201213692941578,0.9158943852136716
V3,subj05,5,8,6,0.2113026500287308,0.2618001862900381,0.1918774022891022,0.2439830176478846,0.8071142080649133
V3,subj06,0,8,6,0.2134539431736706,0.230561769739624,0.1848888857456674,0.2298281681652704,0.9257993786859224
V3,subj06,1,8,6,0.2591379776080022,0.2992813604623167,0.2538541540598416,0.2909140679064557,0.8658674138867093
V3,subj06,2,8,6,0.1931137387382327,0.2230475172733792,0.1846760766544196,0.2182490099658409,0.8657964056221346
V3,subj06,3,8,6,0.2088814848174748,0.2458831956771241,0.200033201072606,0.2453846237177603,0.8495150888300751
V3,subj06,4,8,6,0.0891563513094161,0.0933039810787427,0.0695523581910904,0.0922428818633607,0.9555471297004337
V3,subj06,5,8,6,0.1883916265671277,0.2108254239845993,0.164773489123015,0.2106656315854956,0.8935906448402996
V3,subj07,0,8,6,0.2870702979129687,0.2989175974154769,0.21699293787954,0.2955103101016853,0.9603660018515364
V3,subj07,1,8,6,0.2219130994592566,0.3766119720700324,0.2928458064232354,0.3540817343799851,0.5892353826128264
V3,subj07,2,8,6,0.4643783836587348,0.4821978980445306,0.3751154451386375,0.4507295718164773,0.963045225916455
V3,subj07,3,8,6,0.4595934206181039,0.479026517767811,0.3797960235657649,0.4786174804723507,0.959432105679113
V3,subj07,4,8,6,0.5328274566670628,0.7680530771304518,0.6411107370095129,0.7495211158898893,0.6937378060612385
V3,subj07,5,8,6,0.3551241359466232,0.3568978572345789,0.2641371007586727,0.3411741130231543,0.9950301710923696
V3,subj08,0,8,6,0.538445287709986,0.7708534366434427,0.5868598849399028,0.7165969428583512,0.6985053994888566
V3,subj08,1,8,6,0.2820998983049468,0.5407812211266023,0.4774336929787929,0.5239040119048965,0.5216525413313203
V3,subj08,2,8,6,0.3439544998067084,0.6683180452172361,0.6398431408343662,0.6638844428842913,0.5146569096378452
