subject,roi,fold,identity,split_id,SPLIT_HALF_COS2
subj01,ventral,1,A:R,22,0.4505933005857902
subj01,ventral,1,A:R,23,0.3117693105358174
subj01,ventral,1,A:R,24,0.2626714045249422
subj01,ventral,1,A:R,25,0.2403364354331512
subj01,ventral,1,A:R,26,0.26395433581588584
subj01,ventral,1,A:R,27,0.4945180014061268
subj01,ventral,1,A:R,28,0.3887360551413209
subj01,ventral,1,A:R,29,0.3966883463253081
subj01,ventral,1,A:R,30,0.3755616762624123
subj01,ventral,1,A:R,31,0.27420807698999544
subj01,ventral,1,A:R,32,0.4179006686857505
subj01,ventral,1,A:R,33,0.3366875242924458
subj01,ventral,1,A:R,34,0.19066363750630702
subj01,ventral,1,A:V,0,0.2540872453474751
subj01,ventral,1,A:V,1,0.21657318777656737
subj01,ventral,1,A:V,2,0.3331623885582389
subj01,ventral,1,A:V,3,0.4066009752736025
subj01,ventral,1,A:V,4,0.4507318709417818
subj01,ventral,1,A:V,5,0.24304612754230423
subj01,ventral,1,A:V,6,0.42309055853776895
subj01,ventral,1,A:V,7,0.38578128611525225
subj01,ventral,1,A:V,8,0.4746577619530738
subj01,ventral,1,A:V,9,0.34731541398506766
subj01,ventral,1,A:V,10,0.33435307722034563
subj01,ventral,1,A:V,11,0.503422118647435
subj01,ventral,1,A:V,12,0.474101622865979
subj01,ventral,1,A:V,13,0.4056179556668261
subj01,ventral,1,A:V,14,0.32259964582156264
subj01,ventral,1,A:V,15,0.2416570829172288
subj01,ventral,1,A:V,16,0.35886745944135473
subj01,ventral,1,A:V,17,0.4341964879601384
subj01,ventral,1,A:V,18,0.4653124874701826
subj01,ventral,1,A:V,19,0.31980532908783876
subj01,ventral,1,A:V,20,0.40985643900807944
subj01,ventral,1,A:V,21,0.5365372569113311
subj01,ventral,1,A:V,22,0.4947945319936832
subj01,ventral,1,A:V,23,0.36939546222229047
subj01,ventral,1,A:V,24,0.390828409783045
subj01,ventral,1,A:V,25,0.34766985156196273
subj01,ventral,1,A:V,26,0.33236830651767796
subj01,ventral,1,A:V,27,0.48436479488539735
subj01,ventral,1,A:V,28,0.4582808354268081
subj01,ventral,1,A:V,29,0.37886421737209885
subj01,ventral,1,A:V,30,0.29871544144040135
subj01,ventral,1,A:V,31,0.41348329393473165
subj01,ventral,1,A:V,32,0.41854564361480184
subj01,ventral,1,A:V,33,0.3498193149378279
subj01,ventral,1,A:V,34,0.22130048161151686
subj01,ventral,1,B:B,0,0.06389284485619313
subj01,ventral,1,B:B,1,0.009325452263989288
subj01,ventral,1,B:B,2,0.18165942666195184
subj01,ventral,1,B:B,3,0.13514473695849408
subj01,ventral,1,B:B,4,0.29807441537378765
subj01,ventral,1,B:B,5,0.023720444702809793
