participant,ROI,O0,O1,O2,O3,O4,G,G_gain,G_diag,G_lowrank,headroom,normalized_G,classification,action_cosine,singular_profile_corr,identity_deviation,off_diagonal_mixing,out_of_span_fraction,fraction_contracted,residual_rank,rotation_frobenius,R_img_B0,R_vis_B0,voxel_count,G_B1,R_img_B1,R_vis_B1
subj06,V2,0.8327011863390604,0.8240917921066284,0.8241471747557322,0.608475979918914,0.8295336348106415,-0.003167551528418966,0.005441842704013045,0.005386460054909281,0.22105765489172746,0.16729881366093957,-0.01893349665251402,NO_REUSABLE_OPERATOR_EVIDENCE,0.579548347134979,0.8135617411871611,1.0011715097358067,0.8629502997198054,0.2259650422625258,1.0,12,4.674836849056294,0.6896670792547469,0.9378391172075466,24,-0.018183036457230295,0.49735615656942506,0.9236360270685662
subj06,V3,0.8072002728780111,0.8062049324313799,0.8052513475219408,0.701622705155787,0.867188362274534,0.05998808939652289,0.06098342984315408,0.06193701475259317,0.16556565711874704,0.1927997271219889,0.31114198288552053,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.6908488699584324,0.8481463717085866,1.009684998259556,0.8597303940877408,0.3171990842270932,1.0,12,4.678285362903974,0.6716821049885989,0.8801473845104073,24,0.06219136065391051,0.23329727946823425,0.7748426404748199
subj06,hV4,0.7605897635221481,0.7519537657499313,0.7555263762672743,0.6818214930740191,0.8246057282202682,0.0640159646981201,0.0726519624703369,0.06907935195299397,0.14278423514624916,0.23941023647785187,0.2673902571582076,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7186044658359552,0.8881722052697965,1.0146718156269174,0.891581743317487,2.946869295851811e-15,1.0,10,4.535579709673288,0.7032603602695862,0.8316630386509825,10,0.013315861856094902,0.30179781721601434,0.7811219559751766
subj06,ventral,0.6348371977607409,0.5978380093971888,0.6392042910059293,0.619510368376664,0.7424651783316197,0.10762798057087886,0.14462716893443095,0.10326088732569039,0.12295480995495578,0.3651628022392591,0.29473971584969844,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7776431140791628,0.9353136875124977,1.0792736862545462,0.7511410465250605,0.4474784352111164,0.9166666666666666,12,4.960268726971409,0.752548009749616,0.8407727274480175,194,0.06763406352677398,0.39451355072486394,0.6514904769155586
subj06,lateral,0.6794937774538994,0.6652225280801455,0.6782927165428797,0.510306818786344,0.6958108438509448,0.016317066397045443,0.030588315770799346,0.017518127308065123,0.18550402506460084,0.3205062225461006,0.050910295180613685,DIAGONAL_REWEIGHTING_SUFFICIENT,0.7078593020395457,0.9287381569348236,1.11534643755192,0.9715933615633964,0.3330152092100329,0.9166666666666666,12,5.453778683235072,0.7089044878756797,0.79345192344117,181,-0.04582737788950281,0.304751751473911,0.5583390167786532
subj06,parietal,0.5257842217882475,0.5076945697267851,0.5273596122860909,0.4697866389246896,0.6247777703326354,0.09899354854438791,0.11708320060585031,0.09741815804654452,0.1549911314079458,0.47421577821175254,0.20875211895666643,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7301980706295992,0.9383385872996379,1.1135177423718965,0.8509027278442705,0.2744485736033142,0.9166666666666666,12,4.851385356111369,0.8130518941709165,0.826384532497116,68,0.05929068680668012,0.5007445279079915,0.6199780763324602
subj07,V1,0.848086545864741,0.8450711667537689,0.845024178425471,0.5182143107991682,0.8346341640518787,-0.013452381812862235,-0.010437002701890186,-0.010390014373592216,0.3164198532527105,0.15191345413525903,-0.08855293225631386,NO_REUSABLE_OPERATOR_EVIDENCE,0.558234231104268,0.9165009867820542,0.9995595467863316,0.956174498209954,0.5200473752952888,1.0,11,4.5160853591629175,0.4951038308594548,0.8824028393754529,23,-0.02385771204410103,0.4022010301394565,0.8086546992973199
subj07,V2,0.7601265261570612,0.7563624307513237,0.7610699757933617,0.5028505196296135,0.7494136622530928,-0.010712863903968417,-0.006948768498230895,-0.011656313540268859,0.24656314262347934,0.23987347384293878,-0.04466047759404546,NO_REUSABLE_OPERATOR_EVIDENCE,0.7164965846931969,0.8396547160045768,1.001829359929113,0.9045822229193576,0.1431289258892286,1.0,12,4.967161103419982,0.5842310348883298,0.9295165050979151,20,0.038577421048470784,0.35782481416655526,0.8931439229521446
subj07,V3,0.5746186855249107,0.5586345054519674,0.5517656741042932,0.441664964185578,0.572965437642326,-0.0016532478825846963,0.014330932190358636,0.021199763538032768,0.131300473456748,0.4253813144750893,-0.0038865080019435407,NO_REUSABLE_OPERATOR_EVIDENCE,0.5791147874142861,0.8672703617857083,0.9942115775471048,0.6142811695371773,0.0346703574253157,1.0,11,4.552011824093889,0.6804720543174558,0.9042290674624279,15,-0.013911153562364165,0.40607263591287207,0.8731231120378627
subj07,hV4,0.9329668134450912,0.9335178037484488,0.9247886488835017,0.8625874261636935,0.9302015738082416,-0.0027652396368496035,-0.0033162299402071937,0.005412924924739992,0.0676141476445481,0.06703318655490875,-0.04125180047325542,NO_REUSABLE_OPERATOR_EVIDENCE,0.5690459810934044,0.9275639359348704,0.9962272621484048,0.7846613152346251,9.93271125452783e-16,1.0,8,3.849997744201165,0.5324383450969555,0.9119522940966693,8,-0.004843820261010379,0.5775238418943006,0.8925560077875374
