subject,roi,fold,identity_idx,leak_ratio
subj08,ventral,1,4,5.901316182819305e-16
subj08,ventral,1,5,7.386909581267432e-16
subj08,ventral,1,6,1.027426633751274e-15
subj08,ventral,1,7,5.693929704118255e-16
subj08,ventral,1,8,8.243861124497525e-16
subj08,ventral,1,9,5.553309919713853e-16
subj08,ventral,2,0,7.473668505330114e-16
subj08,ventral,2,1,6.839478791287979e-16
subj08,ventral,2,2,9.926472979128134e-16
subj08,ventral,2,3,8.91618693645119e-16
subj08,ventral,2,4,6.217289415515457e-16
subj08,ventral,2,5,7.47281333706658e-16
subj08,ventral,2,6,9.36013506993937e-16
subj08,ventral,2,7,6.873576573894395e-16
subj08,ventral,2,8,8.090893337094136e-16
subj08,ventral,2,9,5.662314662508217e-16
subj08,ventral,3,0,4.4354323345692596e-16
subj08,ventral,3,1,4.998750851578058e-16
subj08,ventral,3,2,4.123575860564041e-16
subj08,ventral,3,3,7.835704177481272e-16
subj08,ventral,3,4,5.598758482298973e-16
subj08,ventral,3,5,7.47180397150656e-16
subj08,ventral,3,6,7.216533486218717e-16
subj08,ventral,3,7,9.047823017308133e-16
subj08,ventral,3,8,5.312860570920832e-16
subj08,ventral,3,9,5.704060186783914e-16
subj08,ventral,4,0,7.239621256035363e-16
subj08,ventral,4,1,5.70417822032513e-16
subj08,ventral,4,2,4.4325460510264004e-16
subj08,ventral,4,3,1.0390204363900743e-15
subj08,ventral,4,4,4.836201769394388e-16
subj08,ventral,4,5,6.507430870422452e-16
subj08,ventral,4,6,9.406011727349205e-16
subj08,ventral,4,7,1.131009936952144e-15
subj08,ventral,4,8,8.610241320574868e-16
subj08,ventral,4,9,4.2424472651184355e-16
subj08,ventral,5,0,6.32010294780079e-16
subj08,ventral,5,1,6.244439730730052e-16
subj08,ventral,5,2,3.864199169730951e-16
subj08,ventral,5,3,9.77448538980728e-16
subj08,ventral,5,4,8.2813045068743e-16
subj08,ventral,5,5,7.7960772982878245e-16
subj08,ventral,5,6,8.324404343442457e-16
subj08,ventral,5,7,1.0617791220200795e-15
subj08,ventral,5,8,6.295704664562571e-16
subj08,ventral,5,9,1.0382042257400405e-15
subj01,lateral,0,0,4.0389002547641695e-16
subj01,lateral,0,1,5.160269899568688e-16
subj01,lateral,0,2,6.283713062126199e-16
subj01,lateral,0,3,6.558246297430428e-16
subj01,lateral,0,4,6.990470201755743e-16
subj01,lateral,0,5,8.721065858406239e-16
subj01,lateral,0,6,5.861510109028703e-16
subj01,lateral,0,7,5.019601359126647e-16
subj01,lateral,0,8,3.180888814727631e-16
subj01,lateral,0,9,5.388268618872647e-16
subj01,lateral,1,0,4.675126246731356e-16
subj01,lateral,1,1,4.3645762745012726e-16
subj01,lateral,1,2,4.638321954786587e-16
subj01,lateral,1,3,4.500359891513031e-16
subj01,lateral,1,4,4.497584854809642e-16
subj01,lateral,1,5,3.812400309919438e-16
