subject,roi,M,d,R_BASE,R_COND,R_AUG
subj05,lateral,6,1,0.13498611739979482,0.5114923486890651,0.4937401224360159
subj05,lateral,6,2,0.13498611739979482,0.5954013698821553,0.5672025746933622
subj05,lateral,6,4,0.13498611739979482,0.6270713640555753,0.5928194391502312
subj05,lateral,6,6,0.13498611739979482,0.6428368837123127,0.6164916708713634
subj05,lateral,8,1,0.1353670446890645,0.5118732759783348,0.5050107892481517
subj05,lateral,8,2,0.1353670446890645,0.595782297171425,0.5846313514702732
subj05,lateral,8,4,0.1353670446890645,0.627452291344845,0.6125021855177466
subj05,lateral,8,6,0.1353670446890645,0.6432178110015824,0.6316806050343668
subj05,lateral,8,8,0.1353670446890645,0.667608098543031,0.6537649175921909
subj05,lateral,10,1,0.13521978104414079,0.5117260123334111,0.5117260123334111
subj05,lateral,10,2,0.13521978104414079,0.5956350335265012,0.5956350335265012
subj05,lateral,10,4,0.13521978104414079,0.6273050276999212,0.6273050276999212
subj05,lateral,10,6,0.13521978104414079,0.6430705473566586,0.6430705473566586
subj05,lateral,10,8,0.13521978104414079,0.6674608348981073,0.6674608348981073
subj05,lateral,10,10,0.13521978104414079,0.6824637112701305,0.6824637112701305
subj06,lateral,2,1,0.09008842339178695,0.5247696203112144,0.431918925872983
subj06,lateral,2,2,0.09008842339178695,0.6436918961837707,0.5162502875371016
subj06,lateral,4,1,0.09405677229906845,0.5287379692184959,0.4898863513027267
subj06,lateral,4,2,0.09405677229906845,0.6476602450910521,0.585964202470755
subj06,lateral,4,4,0.09405677229906845,0.6912839256523348,0.6179683800527576
subj06,lateral,6,1,0.0969130395702786,0.531594236489706,0.5135343801413096
subj06,lateral,6,2,0.0969130395702786,0.6505165123622624,0.6209794667858789
subj06,lateral,6,4,0.0969130395702786,0.694140192923545,0.6577492390930543
subj06,lateral,6,6,0.0969130395702786,0.7061921158741705,0.6715010158897359
subj06,lateral,8,1,0.09869897292012314,0.5333801698395506,0.5264501597879009
subj06,lateral,8,2,0.09869897292012314,0.6523024457121068,0.6407980111734047
subj06,lateral,8,4,0.09869897292012314,0.6959261262733896,0.6821680870508448
subj06,lateral,8,6,0.09869897292012314,0.7079780492240152,0.6947272358096445
subj06,lateral,8,8,0.09869897292012314,0.721191374205452,0.7054273371351009
subj06,lateral,10,1,0.10046182141474647,0.535143018334174,0.535143018334174
subj06,lateral,10,2,0.10046182141474647,0.6540652942067302,0.6540652942067302
subj06,lateral,10,4,0.10046182141474647,0.697688974768013,0.697688974768013
subj06,lateral,10,6,0.10046182141474647,0.7097408977186386,0.7097408977186386
subj06,lateral,10,8,0.10046182141474647,0.7229542227000753,0.7229542227000753
subj06,lateral,10,10,0.10046182141474647,0.7301670692136027,0.7301670692136027
subj07,lateral,2,1,0.14766435676782227,0.6267974071320114,0.5622935404490988
subj07,lateral,2,2,0.14766435676782227,0.7638684969065316,0.6593129003996393
subj07,lateral,4,1,0.1493273702601563,0.6284604206243454,0.6022731434509313
subj07,lateral,4,2,0.1493273702601563,0.7655315103988656,0.7195046823311243
subj07,lateral,4,4,0.1493273702601563,0.778301284949429,0.7297674106906445
subj07,lateral,6,1,0.149713851544093,0.6288469019082821,0.6168719848821171
subj07,lateral,6,2,0.149713851544093,0.7659179916828024,0.7440983657460594
subj07,lateral,6,4,0.149713851544093,0.7786877662333658,0.7545332752838069
subj07,lateral,6,6,0.149713851544093,0.7810095785657639,0.7619938262821617
subj07,lateral,8,1,0.1504717846448823,0.6296048350090714,0.6250470777089892
subj07,lateral,8,2,0.1504717846448823,0.7666759247835917,0.7582109358584262
subj07,lateral,8,4,0.1504717846448823,0.7794456993341551,0.7689684226095516
subj07,lateral,8,6,0.1504717846448823,0.7817675116665533,0.7762454180727908
subj07,lateral,8,8,0.1504717846448823,0.7938494024273394,0.7827269756765642
subj07,lateral,10,1,0.1519045862994082,0.6310376366635971,0.6310376366635971
subj07,lateral,10,2,0.1519045862994082,0.7681087264381175,0.7681087264381175
subj07,lateral,10,4,0.1519045862994082,0.7808785009886811,0.7808785009886811
subj07,lateral,10,6,0.1519045862994082,0.7832003133210792,0.7832003133210792
subj07,lateral,10,8,0.1519045862994082,0.7952822040818651,0.7952822040818651
subj07,lateral,10,10,0.1519045862994082,0.7986296300108214,0.7986296300108214
subj08,lateral,2,1,0.09865197521804704,0.3529517717819415,0.2946665818841174
subj08,lateral,2,2,0.09865197521804704,0.41764328102070186,0.41332171264306306
subj08,lateral,4,1,0.11651952801465905,0.37081932457855354,0.3449767914966966
subj08,lateral,4,2,0.11651952801465905,0.43551083381731376,0.4694945912536981
subj08,lateral,4,4,0.11651952801465905,0.7005583447560801,0.5815126295467518
subj08,lateral,6,1,0.12683684381959465,0.38113664038348904,0.3715466862695331
subj08,lateral,6,2,0.12683684381959465,0.4458281496222494,0.48740603232266605
subj08,lateral,6,4,0.12683684381959465,0.7108756605610157,0.655253054464324
