subject,roi,M,d,OUT_BASIS_RECOVERY,R_AUG_minus_BASE,R_COND_minus_BASE
subj02,lateral,6,4,0.9462140013931574,0.5312678834737432,0.5614669437268223
subj02,lateral,6,6,0.9251233776784024,0.548933265192792,0.5933622243665924
subj02,lateral,8,1,0.9830424855815978,0.3866645907642183,0.393334567361507
subj02,lateral,8,2,0.9798181570761804,0.5054409128078283,0.5158517518353465
subj02,lateral,8,4,0.9756950560026065,0.5478205211031539,0.561466943726822
subj02,lateral,8,6,0.9652617668361678,0.5727498690659354,0.5933622243665921
subj02,lateral,8,8,0.9788554632079116,0.5910068983192809,0.6037734073449712
subj02,lateral,10,1,1.0,0.39333456736150707,0.39333456736150707
subj02,lateral,10,2,1.0,0.5158517518353464,0.5158517518353464
subj02,lateral,10,4,1.0,0.5614669437268222,0.5614669437268222
subj02,lateral,10,6,1.0,0.5933622243665923,0.5933622243665923
subj02,lateral,10,8,1.0,0.6037734073449711,0.6037734073449711
subj02,lateral,10,10,1.0,0.6268999286540015,0.6268999286540015
subj03,lateral,2,1,0.8094807061554926,0.29417371312093077,0.36341040729440577
subj03,lateral,2,2,0.772058936822492,0.383221564560846,0.4963630964988809
subj03,lateral,4,1,0.9222544699978406,0.3351568725710016,0.36341040729440577
subj03,lateral,4,2,0.8962207016548258,0.4448508826197892,0.4963630964988811
subj03,lateral,4,4,0.8914767001855518,0.45991937919334613,0.5159073468747064
subj03,lateral,6,1,0.9641635187272654,0.350387057039083,0.3634104072944059
subj03,lateral,6,2,0.9498039341885202,0.4714476218406334,0.4963630964988811
subj03,lateral,6,4,0.945789160350146,0.4879395764191,0.5159073468747063
subj03,lateral,6,6,0.9517892189999585,0.5003535026923511,0.5256978044131144
subj03,lateral,8,1,0.9862812465163588,0.35842486950334407,0.36341040729440566
subj03,lateral,8,2,0.9802983738280243,0.48658393632609576,0.496363096498881
subj03,lateral,8,4,0.9767315537744736,0.5039029845165981,0.5159073468747062
subj03,lateral,8,6,0.9830414505980747,0.5167827322264907,0.5256978044131142
subj03,lateral,8,8,0.9737864039698988,0.5278015873528813,0.5420096082684642
subj03,lateral,10,1,1.0,0.36341040729440577,0.36341040729440577
subj03,lateral,10,2,1.0,0.4963630964988811,0.4963630964988811
subj03,lateral,10,4,1.0,0.5159073468747063,0.5159073468747063
subj03,lateral,10,6,1.0,0.5256978044131143,0.5256978044131143
subj03,lateral,10,8,1.0,0.5420096082684641,0.5420096082684641
subj03,lateral,10,10,1.0,0.5490389917006017,0.5490389917006017
subj04,lateral,2,1,0.7532276827690602,0.2939875159504918,0.39030365276766976
subj04,lateral,2,2,0.7658393973577932,0.3638711292543474,0.4751272009637161
subj04,lateral,4,1,0.8904805336022148,0.34755780498344824,0.3903036527676699
subj04,lateral,4,2,0.8733158108772978,0.41493609677948873,0.4751272009637163
subj04,lateral,4,4,0.9090787920564455,0.45007565450590126,0.4950898188789291
subj04,lateral,6,1,0.9500580863830594,0.3708111414567705,0.3903036527676699
subj04,lateral,6,2,0.9300078298607792,0.44187201707609214,0.4751272009637163
subj04,lateral,6,4,0.964654856616506,0.47759079824294526,0.4950898188789291
subj04,lateral,6,6,0.9404015666791867,0.4929882145410045,0.5242315963826812
subj04,lateral,8,1,0.9810723991830249,0.3829161410306761,0.3903036527676698
subj04,lateral,8,2,0.9715115761506598,0.46159157588031124,0.47512720096371625
subj04,lateral,8,4,0.9895866641649267,0.48993428232641717,0.49508981887892906
subj04,lateral,8,6,0.9773026047587197,0.5123329046416161,0.5242315963826811
subj04,lateral,8,8,0.973563157285769,0.5226152089231038,0.5368066827632643
subj04,lateral,10,1,1.0,0.39030365276766976,0.39030365276766976
subj04,lateral,10,2,1.0,0.4751272009637162,0.4751272009637162
subj04,lateral,10,4,1.0,0.495089818878929,0.495089818878929
subj04,lateral,10,6,1.0,0.5242315963826811,0.5242315963826811
subj04,lateral,10,8,1.0,0.5368066827632643,0.5368066827632643
subj04,lateral,10,10,1.0,0.5461428522226351,0.5461428522226351
subj05,lateral,2,1,0.7721866850794187,0.29073309865100655,0.3765062312892703
subj05,lateral,2,2,0.7396142640788635,0.3405296881354252,0.4604152524823605
subj05,lateral,4,1,0.8999378197972122,0.33883219692653077,0.37650623128927024
subj05,lateral,4,2,0.8752518667346769,0.40297930920830355,0.4604152524823604
subj05,lateral,4,4,0.8739181725711925,0.43004223950666415,0.4920852466557804
subj05,lateral,6,1,0.9528501130186869,0.35875400503622107,0.3765062312892703
subj05,lateral,6,2,0.9387535598858696,0.4322164572935674,0.4604152524823605
subj05,lateral,6,4,0.9303943267185497,0.45783332175043634,0.49208524665578046
subj05,lateral,6,6,0.9481241053700857,0.48150555347156854,0.5078507663125179
subj05,lateral,8,1,0.9817732452748953,0.3696437445590872,0.3765062312892703
subj05,lateral,8,2,0.975780677027899,0.44926430678120877,0.4604152524823605
subj05,lateral,8,4,0.9696188700459939,0.47713514082868214,0.4920852466557806
subj05,lateral,8,6,0.9772822909159187,0.4963135603453024,0.5078507663125179
subj05,lateral,8,8,0.9739907681855778,0.5183978729031264,0.5322410538539666
subj05,lateral,10,1,1.0,0.3765062312892703,0.3765062312892703
subj05,lateral,10,2,1.0,0.46041525248236037,0.46041525248236037
subj05,lateral,10,4,1.0,0.49208524665578046,0.49208524665578046
subj05,lateral,10,6,1.0,0.5078507663125178,0.5078507663125178
subj05,lateral,10,8,1.0,0.5322410538539665,0.5322410538539665
subj05,lateral,10,10,1.0,0.5472439302259897,0.5472439302259897
subj06,lateral,2,1,0.7863935797171318,0.341830502481196,0.43468119691942747
subj06,lateral,2,2,0.7697962261617617,0.4261618641453146,0.5536034727919837
subj06,lateral,4,1,0.9106204312698376,0.3958295790036582,0.43468119691942747
subj06,lateral,4,2,0.8885555354103073,0.49190743017168653,0.5536034727919836
subj06,lateral,4,4,0.8772401000391049,0.5239116077536892,0.5972271533532663
subj06,lateral,6,1,0.9584526395979718,0.416621340571031,0.43468119691942747
subj06,lateral,6,2,0.946645844854586,0.5240664272156003,0.5536034727919837
