subject,roi,fold,donor,CKA_IN,CKA_OUT,w_IN,w_OUT
subj06,ventral,1,subj08,0.4913892045197918,0.23862456724777747,0.11789641796090679,0.09941402484495455
subj06,ventral,2,subj01,0.5598024388238337,0.22738114352957042,0.18416444532884982,0.10957598373976721
subj06,ventral,2,subj02,0.579121020395894,0.3897069205228697,0.16600012792987986,0.23440001882966513
subj06,ventral,2,subj03,0.5340330155678049,0.276770524824828,0.1505625302952424,0.1296439086867487
subj06,ventral,2,subj04,0.5467474516036239,0.3259905761274421,0.08306460092038488,0.11641089231474784
subj06,ventral,2,subj05,0.6010912951204667,0.3973977859150145,0.21598323374603517,0.21386508575803623
subj06,ventral,2,subj07,0.34401047709150956,0.20384063235828775,0.08232864381870104,0.0966900858260803
subj06,ventral,2,subj08,0.4913892045197918,0.23862456724777747,0.11789641796090679,0.09941402484495455
subj06,ventral,3,subj01,0.5598024388238337,0.22738114352957042,0.18416444532884982,0.10957598373976721
subj06,ventral,3,subj02,0.579121020395894,0.3897069205228697,0.16600012792987986,0.23440001882966513
subj06,ventral,3,subj03,0.5340330155678049,0.276770524824828,0.1505625302952424,0.1296439086867487
subj06,ventral,3,subj04,0.5467474516036239,0.3259905761274421,0.08306460092038488,0.11641089231474784
subj06,ventral,3,subj05,0.6010912951204667,0.3973977859150145,0.21598323374603517,0.21386508575803623
subj06,ventral,3,subj07,0.34401047709150956,0.20384063235828775,0.08232864381870104,0.0966900858260803
subj06,ventral,3,subj08,0.4913892045197918,0.23862456724777747,0.11789641796090679,0.09941402484495455
subj06,ventral,4,subj01,0.5598024388238337,0.22738114352957042,0.18416444532884982,0.10957598373976721
subj06,ventral,4,subj02,0.579121020395894,0.3897069205228697,0.16600012792987986,0.23440001882966513
subj06,ventral,4,subj03,0.5340330155678049,0.276770524824828,0.1505625302952424,0.1296439086867487
subj06,ventral,4,subj04,0.5467474516036239,0.3259905761274421,0.08306460092038488,0.11641089231474784
subj06,ventral,4,subj05,0.6010912951204667,0.3973977859150145,0.21598323374603517,0.21386508575803623
subj06,ventral,4,subj07,0.34401047709150956,0.20384063235828775,0.08232864381870104,0.0966900858260803
subj06,ventral,4,subj08,0.4913892045197918,0.23862456724777747,0.11789641796090679,0.09941402484495455
subj06,ventral,5,subj01,0.5598024388238337,0.22738114352957042,0.18416444532884982,0.10957598373976721
subj06,ventral,5,subj02,0.579121020395894,0.3897069205228697,0.16600012792987986,0.23440001882966513
subj06,ventral,5,subj03,0.5340330155678049,0.276770524824828,0.1505625302952424,0.1296439086867487
subj06,ventral,5,subj04,0.5467474516036239,0.3259905761274421,0.08306460092038488,0.11641089231474784
subj06,ventral,5,subj05,0.6010912951204667,0.3973977859150145,0.21598323374603517,0.21386508575803623
subj06,ventral,5,subj07,0.34401047709150956,0.20384063235828775,0.08232864381870104,0.0966900858260803
subj06,ventral,5,subj08,0.4913892045197918,0.23862456724777747,0.11789641796090679,0.09941402484495455
subj07,ventral,0,subj01,0.41015029079260884,0.198302549948263,0.1753093000876901,0.21775735078112773
subj07,ventral,0,subj02,0.43257016191851644,0.2082633254096105,0.17371684937593415,0.12403243083640088
subj07,ventral,0,subj03,0.3840151732956634,0.16325390195676864,0.1468854544079519,0.13049725828229933
subj07,ventral,0,subj04,0.38784037775188657,0.20059554452153103,0.0497184764560043,0.10833271059494975
subj07,ventral,0,subj05,0.46071249250843543,0.26181792330350795,0.2427799841491526,0.1783976567014918
subj07,ventral,0,subj06,0.34401047709150956,0.20384063235828775,0.12471159884888947,0.12608446150294716
subj07,ventral,0,subj08,0.32844688641433034,0.13653712264440515,0.08687833667437746,0.11489813130078341
subj07,ventral,1,subj01,0.41015029079260884,0.198302549948263,0.1753093000876901,0.21775735078112773
subj07,ventral,1,subj02,0.43257016191851644,0.2082633254096105,0.17371684937593415,0.12403243083640088
subj07,ventral,1,subj03,0.3840151732956634,0.16325390195676864,0.1468854544079519,0.13049725828229933
subj07,ventral,1,subj04,0.38784037775188657,0.20059554452153103,0.0497184764560043,0.10833271059494975
subj07,ventral,1,subj05,0.46071249250843543,0.26181792330350795,0.2427799841491526,0.1783976567014918
subj07,ventral,1,subj06,0.34401047709150956,0.20384063235828775,0.12471159884888947,0.12608446150294716
subj07,ventral,1,subj08,0.32844688641433034,0.13653712264440515,0.08687833667437746,0.11489813130078341
subj07,ventral,2,subj01,0.41015029079260884,0.198302549948263,0.1753093000876901,0.21775735078112773
subj07,ventral,2,subj02,0.43257016191851644,0.2082633254096105,0.17371684937593415,0.12403243083640088
subj07,ventral,2,subj03,0.3840151732956634,0.16325390195676864,0.1468854544079519,0.13049725828229933
subj07,ventral,2,subj04,0.38784037775188657,0.20059554452153103,0.0497184764560043,0.10833271059494975
subj07,ventral,2,subj05,0.46071249250843543,0.26181792330350795,0.2427799841491526,0.1783976567014918
subj07,ventral,2,subj06,0.34401047709150956,0.20384063235828775,0.12471159884888947,0.12608446150294716
subj07,ventral,2,subj08,0.32844688641433034,0.13653712264440515,0.08687833667437746,0.11489813130078341
subj07,ventral,3,subj01,0.41015029079260884,0.198302549948263,0.1753093000876901,0.21775735078112773
subj07,ventral,3,subj02,0.43257016191851644,0.2082633254096105,0.17371684937593415,0.12403243083640088
subj07,ventral,3,subj03,0.3840151732956634,0.16325390195676864,0.1468854544079519,0.13049725828229933
subj07,ventral,3,subj04,0.38784037775188657,0.20059554452153103,0.0497184764560043,0.10833271059494975
