subject,roi,fold,ERR_BARY_IN,ERR_UNIFORM_IN,FIT_GAIN_IN,ERR_BARY_OUT,ERR_UNIFORM_OUT,FIT_GAIN_OUT,ACTIVE_IN,ACTIVE_OUT
subj01,lateral,5,0.6065398783562423,0.6169654630669411,0.010425584710698765,0.7514465221609278,0.7623263227929995,0.010879800632071723,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
subj02,lateral,0,0.6779051074917989,0.6938673308170865,0.015962223325287628,0.838301012297794,0.8513523281478951,0.013051315850101108,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
subj02,lateral,1,0.6779051074917989,0.6938673308170865,0.015962223325287628,0.838301012297794,0.8513523281478951,0.013051315850101108,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
subj02,lateral,2,0.6779051074917989,0.6938673308170865,0.015962223325287628,0.838301012297794,0.8513523281478951,0.013051315850101108,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
subj02,lateral,3,0.6779051074917989,0.6938673308170865,0.015962223325287628,0.838301012297794,0.8513523281478951,0.013051315850101108,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
subj02,lateral,4,0.6779051074917989,0.6938673308170865,0.015962223325287628,0.838301012297794,0.8513523281478951,0.013051315850101108,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
subj02,lateral,5,0.6779051074917989,0.6938673308170865,0.015962223325287628,0.838301012297794,0.8513523281478951,0.013051315850101108,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
subj03,lateral,0,0.7366502083928146,0.741517569041558,0.00486736064874338,0.8515729728241451,0.8560054171250789,0.004432444300933813,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj03,lateral,1,0.7366502083928146,0.741517569041558,0.00486736064874338,0.8515729728241451,0.8560054171250789,0.004432444300933813,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj03,lateral,2,0.7366502083928146,0.741517569041558,0.00486736064874338,0.8515729728241451,0.8560054171250789,0.004432444300933813,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj03,lateral,3,0.7366502083928146,0.741517569041558,0.00486736064874338,0.8515729728241451,0.8560054171250789,0.004432444300933813,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj03,lateral,4,0.7366502083928146,0.741517569041558,0.00486736064874338,0.8515729728241451,0.8560054171250789,0.004432444300933813,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj03,lateral,5,0.7366502083928146,0.741517569041558,0.00486736064874338,0.8515729728241451,0.8560054171250789,0.004432444300933813,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj04,lateral,0,0.7277712843520707,0.739013283670513,0.011241999318442275,0.7955983123314705,0.80977087799408,0.014172565662609493,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
subj04,lateral,1,0.7277712843520707,0.739013283670513,0.011241999318442275,0.7955983123314705,0.80977087799408,0.014172565662609493,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
subj04,lateral,2,0.7277712843520707,0.739013283670513,0.011241999318442275,0.7955983123314705,0.80977087799408,0.014172565662609493,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
subj04,lateral,3,0.7277712843520707,0.739013283670513,0.011241999318442275,0.7955983123314705,0.80977087799408,0.014172565662609493,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
subj04,lateral,4,0.7277712843520707,0.739013283670513,0.011241999318442275,0.7955983123314705,0.80977087799408,0.014172565662609493,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
subj04,lateral,5,0.7277712843520707,0.739013283670513,0.011241999318442275,0.7955983123314705,0.80977087799408,0.014172565662609493,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
subj05,lateral,0,0.6099125183988953,0.6156767357534072,0.005764217354511936,0.7145133591538997,0.7287675856939849,0.014254226540085235,subj01|subj02|subj03|subj04|subj06|subj07|subj08,subj01|subj02|subj03|subj04|subj06|subj07|subj08
subj05,lateral,1,0.6099125183988953,0.6156767357534072,0.005764217354511936,0.7145133591538997,0.7287675856939849,0.014254226540085235,subj01|subj02|subj03|subj04|subj06|subj07|subj08,subj01|subj02|subj03|subj04|subj06|subj07|subj08
subj05,lateral,2,0.6099125183988953,0.6156767357534072,0.005764217354511936,0.7145133591538997,0.7287675856939849,0.014254226540085235,subj01|subj02|subj03|subj04|subj06|subj07|subj08,subj01|subj02|subj03|subj04|subj06|subj07|subj08
