participant,ROI,beta,fold,v2v_lam,v2v_rank,v2v_val
subj06,parietal,B1,2,100000.0,2,-0.13298493113289564
subj06,parietal,B1,3,6.280291441834259,2,0.15970821468493587
subj07,V1,B0,0,102.35310218990269,4,0.4547285325625052
subj07,V1,B0,1,0.001,5,0.47721563904810166
subj07,V1,B0,2,102.35310218990269,3,0.4475236120865512
subj07,V1,B0,3,123.28467394420684,4,0.6554421075891793
subj07,V1,B1,0,48.62601580065353,4,0.1290930740875243
subj07,V1,B1,1,9.111627561154895,4,0.18292459399654296
subj07,V1,B1,2,0.001,6,0.24058982209216814
subj07,V1,B1,3,148.49682622544665,5,0.5518979447944643
subj07,V2,B0,0,40.37017258596558,2,0.28810605767165876
subj07,V2,B0,1,40.37017258596558,2,0.34349997949791555
subj07,V2,B0,2,2.9836472402833403,6,0.40891692952334296
subj07,V2,B0,3,178.8649529057435,7,0.41986286478383805
subj07,V2,B1,0,48.62601580065353,6,0.10633281321636465
subj07,V2,B1,1,40.37017258596558,10,0.2671831322727384
subj07,V2,B1,2,33.516026509388475,6,0.22598768723685722
subj07,V2,B1,3,84.97534359086455,4,0.4340082127367945
subj07,V3,B0,0,2.4770763559917115,7,0.2899148554802771
subj07,V3,B0,1,5.21400828799969,6,0.39619648529839685
subj07,V3,B0,2,4.328761281083062,5,0.40841236769955286
subj07,V3,B0,3,148.49682622544665,6,0.49339117812835176
subj07,V3,B1,0,0.001,8,0.15062430313144484
subj07,V3,B1,1,0.001,8,0.2657753810679894
subj07,V3,B1,2,1.4174741629268062,7,0.3180013852941712
subj07,V3,B1,3,259.5024211399737,5,0.4193304822267511
subj07,hV4,B0,0,15.922827933410938,3,-0.041659250358757616
subj07,hV4,B0,1,0.001,6,0.04926186669121223
subj07,hV4,B0,2,2.4770763559917115,3,0.03615551835421917
subj07,hV4,B0,3,100000.0,4,0.32756752623515584
subj07,hV4,B1,0,0.001,2,0.03648920625886108
subj07,hV4,B1,1,0.001,6,0.04818469306766801
subj07,hV4,B1,2,453.48785081285916,3,-0.07647282488163248
subj07,hV4,B1,3,954.5484566618347,2,0.21667839684598447
subj07,ventral,B0,0,70.54802310718645,11,0.14372654139493546
subj07,ventral,B0,1,1.7073526474706922,4,0.24089071216126945
subj07,ventral,B0,2,33.516026509388475,4,0.3791480766693378
subj07,ventral,B0,3,259.5024211399737,4,0.18580235886503316
subj07,ventral,B1,0,27.825594022071257,7,0.1337460755585414
subj07,ventral,B1,1,2.9836472402833403,3,0.1882514153472393
subj07,ventral,B1,2,0.001,1,0.21902117105278307
