participant,ROI,beta,fold,n_voxels,v2v_lam,v2v_rank,v2v_val,v2i_lam,v2i_rank,v2i_val,test_r,median,std,finite_frac,target_constant,prediction_constant
subj05,ventral,B0,0,133,453.48785081285916,4,0.41524724624118486,0.049770235643321115,2,0.15165961554972454,0.02075512529072321,0.016751031137174063,0.2079245892819062,1.0,0,0
subj05,ventral,B0,1,133,453.48785081285916,3,0.38858010417273364,100000.0,2,0.1307428781858162,0.1607791936919225,0.17270967283691693,0.23223420250583593,1.0,0,0
subj05,ventral,B0,2,133,178.8649529057435,3,0.41580976576846324,0.0093260334688322,9,0.1888835975219009,0.13909317695247558,0.13950756454695923,0.20914340829498063,1.0,0,0
subj05,ventral,B0,3,133,215.44346900318865,8,0.296199294985725,6.280291441834259,2,0.15481563565041728,0.041907417470909675,0.046141481133088726,0.22698045780716872,1.0,0,0
subj05,ventral,B1,0,133,215.44346900318865,6,0.0637418656106749,40.37017258596558,3,0.06779954068166798,0.016000512034184063,0.011300815294302676,0.20401117181183928,1.0,0,0
subj05,ventral,B1,1,133,259.5024211399737,4,0.30658512667176235,84.97534359086455,3,0.0865688797764527,0.04740184888490232,0.0469256365420307,0.22246215255976742,1.0,0,0
subj05,ventral,B1,2,133,215.44346900318865,2,0.2531904456491981,2009.23300256505,1,0.0371040011198807,0.03673990185542848,0.03245120480287777,0.1810963399857252,1.0,0,0
subj05,ventral,B1,3,133,84.97534359086455,8,0.23992441201500322,312.57158496882414,3,0.08530665715170754,0.050337752787511555,0.0534695229355389,0.19898321263253335,1.0,0,0
subj05,lateral,B0,0,141,47508.10162102803,1,0.4687582580912712,792.4828983539186,2,0.027660625953341674,0.08109071726883639,0.07836902665585502,0.17220594344304976,1.0,0,0
subj05,lateral,B0,1,141,100000.0,1,0.47516382962861403,33.516026509388475,1,0.02736873033590601,-0.019451746707864294,-0.02489055788722571,0.1486653729197681,1.0,0,0
subj05,lateral,B0,2,141,8902.150854450392,4,0.5102412636651172,0.15199110829529347,11,0.09286448942886859,0.03109924378379835,0.02551528080822164,0.22316251377861537,1.0,0,0
subj05,lateral,B0,3,141,123.28467394420684,7,0.27033201879757685,0.22051307399030456,2,0.0829465360298402,0.10836098680982313,0.10093968363115692,0.1786030605166459,1.0,0,0
subj05,lateral,B1,0,141,1149.756995397738,2,0.2467007349088908,7.56463327554629,1,0.04290601423372853,0.008287626977715878,0.020131372403877922,0.20115706891481885,1.0,0,0
subj05,lateral,B1,1,141,215.44346900318865,2,0.25247050823471623,19.179102616724887,1,0.07967583850577684,-0.006889833047163298,-0.013709627062952343,0.15525580568689873,1.0,0,0
subj05,lateral,B1,2,141,178.8649529057435,5,0.27988488190589117,0.26560877829466867,2,0.12000604028201176,-0.02614670138969787,-0.02308854089472134,0.2037932054596355,1.0,0,0
subj05,lateral,B1,3,141,0.001,12,0.18226016862999697,0.0030538555088334154,1,0.14955381715536537,-0.034841442719736236,-0.011024094481272666,0.1718709486934219,1.0,0,0
subj05,parietal,B0,0,57,259.5024211399737,3,0.4108432775204654,1149.756995397738,3,0.17825410783016787,0.15920436042324393,0.21201625936624266,0.20963408971071157,1.0,0,0
subj05,parietal,B0,1,57,546.2277217684348,2,0.39951499302525195,0.001,12,0.20209775793720045,0.08433866009070398,0.09102668226142353,0.23343818799673874,1.0,0,0
subj05,parietal,B0,2,57,84.97534359086455,5,0.40578794311993654,10.974987654930567,3,0.15295200751865784,0.005153081253461082,-0.036018927612051464,0.2511245809662314,1.0,0,0
subj05,parietal,B0,3,57,4.328761281083062,5,0.3955855297037728,0.006428073117284319,4,0.07885864893417088,0.1372552865355973,0.12667355661224564,0.18342296543517825,1.0,0,0
subj05,parietal,B1,0,57,0.08697490026177834,3,0.24256858360111114,0.22051307399030456,1,0.12047098976520257,0.08077150851209716,0.048346180273777996,0.2410742935994664,1.0,0,0
subj05,parietal,B1,1,57,15.922827933410938,3,0.31863894608473115,0.0012045035402587824,1,0.14135316563892247,0.004745125653336996,-0.030244644667317147,0.2091670641741946,1.0,0,0
