ROI,target_subject,identity_fold,vis_img_mean_sq_cos,vis_img_min_cos,vis_img_max_angle,cross_state_overlap
V3,subj02,2,0.5580397844314575,0.0743607208132743,85.73550415039062,0.5580398440361023
V3,subj02,3,0.6155164241790771,0.0936056673526763,84.62892150878906,0.6155165433883667
V3,subj02,4,0.506703794002533,0.0663777217268943,86.19403076171875,0.506703794002533
V3,subj02,5,0.588043212890625,0.0416468158364295,87.61312103271484,0.5880432724952698
V3,subj03,0,0.5644226670265198,0.1113983616232872,83.60406494140625,0.5644226670265198
V3,subj03,1,0.5700788497924805,0.095648780465126,84.5113296508789,0.5700789093971252
V3,subj03,2,0.5924526453018188,0.1607877016067505,80.74737548828125,0.5924526453018188
V3,subj03,3,0.5785218477249146,0.0841744765639305,85.17144012451172,0.5785218477249146
V3,subj03,4,0.5681509375572205,0.2572287321090698,75.09430694580078,0.5681509971618652
V3,subj03,5,0.616875410079956,0.1052567735314369,83.9580307006836,0.6168755292892456
V3,subj04,0,0.6141869425773621,0.1176345124840736,83.24439239501953,0.6141869425773621
V3,subj04,1,0.6631463766098022,0.1169482842087745,83.28398132324219,0.6631463170051575
V3,subj04,2,0.6658922433853149,0.1499985307455063,81.37315368652344,0.6658922433853149
V3,subj04,3,0.6090313792228699,0.0628744661808013,86.39517211914062,0.6090314984321594
V3,subj04,4,0.6611011028289795,0.055038932710886,86.84490203857422,0.6611011028289795
V3,subj04,5,0.6959291696548462,0.2654118835926056,74.60856628417969,0.6959291100502014
V3,subj05,0,0.5497397780418396,0.0141125842928886,89.19137573242188,0.5497397780418396
V3,subj05,1,0.572527289390564,0.0287157595157623,88.35447692871094,0.5725274085998535
V3,subj05,2,0.6423813700675964,0.0220813676714897,88.73472595214844,0.6423811912536621
V3,subj05,3,0.6730256080627441,0.039519015699625,87.73513793945312,0.6730256676673889
V3,subj05,4,0.6295985579490662,0.1314118653535843,82.44880676269531,0.6295985579490662
V3,subj05,5,0.6106438636779785,0.1708997637033462,80.15985870361328,0.6106438636779785
V3,subj06,0,0.4907576143741607,0.021076962351799,88.79228210449219,0.4907577037811279
V3,subj06,1,0.5108888149261475,0.0449425391852855,87.42411041259766,0.5108887553215027
V3,subj06,2,0.4613065123558044,0.0359768010675907,87.938232421875,0.4613065123558044
V3,subj06,3,0.4796883165836334,0.0385066978633403,87.79317474365234,0.4796882569789886
V3,subj06,4,0.5347355604171753,0.1528539955615997,81.2076416015625,0.5347355604171753
V3,subj06,5,0.5203368067741394,0.0619507730007171,86.44820404052734,0.5203367471694946
V3,subj07,0,0.6780500411987305,0.2007080167531967,78.421630859375,0.6780501008033752
V3,subj07,1,0.7438102960586548,0.1856211423873901,79.30264282226562,0.74381023645401
V3,subj07,2,0.7752170562744141,0.2093002498149871,77.91864776611328,0.7752171158790588
V3,subj07,3,0.7528496384620667,0.0249508749693632,88.57026672363281,0.7528495788574219
V3,subj07,4,0.7195798754692078,0.2311083376407623,76.63766479492188,0.7195799946784973
V3,subj07,5,0.7101306319236755,0.1703584492206573,80.19133758544922,0.7101306319236755
V3,subj08,0,0.6330752372741699,0.0306990388780832,88.24079132080078,0.6330753564834595
V3,subj08,1,0.5891531705856323,0.0777841880917549,85.53878784179688,0.5891531109809875
V3,subj08,2,0.6099776029586792,0.0161842983216047,89.07266235351562,0.609977662563324
V3,subj08,3,0.5529960989952087,0.0108394222334027,89.3789291381836,0.5529961585998535
V3,subj08,4,0.7024480104446411,0.0395670272409915,87.73238372802734,0.7024480104446411
V3,subj08,5,0.6224693059921265,0.0681361928582191,86.09305572509766,0.6224693655967712
