ROI,target_subject,identity_fold,vision_contrast_retention,imagery_contrast_retention,cross_state_retention_gap
lateral,subj05,3,0.3859013617038727,0.0068127722479403,0.3790885894559324
lateral,subj05,4,0.7164860963821411,0.0564082264900207,0.6600778698921204
lateral,subj05,5,0.7129231095314026,0.0613955855369567,0.6515275239944458
lateral,subj06,0,0.630065381526947,0.4985926449298858,0.1314727365970611
lateral,subj06,1,0.3817120492458343,0.2880322337150574,0.0936798155307769
lateral,subj06,2,0.398625761270523,0.3564189970493316,0.0422067642211914
lateral,subj06,3,0.4839757680892944,0.0428464971482753,0.441129270941019
lateral,subj06,4,0.6524059772491455,0.1839501112699508,0.4684558659791946
lateral,subj06,5,0.4433791935443878,0.4406847655773163,0.0026944279670715
lateral,subj07,0,0.1152901500463485,0.0485661439597606,0.0667240060865879
lateral,subj07,1,0.2418132722377777,0.0291437283158302,0.2126695439219474
lateral,subj07,2,0.2524871528148651,0.0448109842836856,0.2076761685311794
lateral,subj07,3,0.2492721378803253,0.0602427348494529,0.1890294030308723
lateral,subj07,4,0.3729813694953918,0.0257942751049995,0.3471870943903923
lateral,subj07,5,0.2166388630867004,0.1226274147629737,0.0940114483237266
lateral,subj08,0,0.5337405800819397,0.1350650936365127,0.3986754864454269
lateral,subj08,1,0.3417069315910339,0.0497669018805027,0.2919400297105312
lateral,subj08,2,0.2999442219734192,0.2339552491903305,0.0659889727830886
lateral,subj08,3,0.5151969790458679,0.1183526217937469,0.3968443572521209
lateral,subj08,4,0.6455057859420776,0.1030063480138778,0.5424994379281998
lateral,subj08,5,0.5004721283912659,0.3397849798202514,0.1606871485710144
parietal,subj01,0,0.3036661744117737,0.4919725954532623,-0.1883064210414886
parietal,subj01,1,0.3288089036941528,0.1225018426775932,0.2063070610165596
parietal,subj01,2,0.273555040359497,0.2444244623184204,0.0291305780410766
parietal,subj01,3,0.3791401982307434,0.1250873059034347,0.2540528923273086
parietal,subj01,4,0.3904776573181152,0.0926337838172912,0.297843873500824
