participant,ROI,beta,fold,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas
subj08,V1,B1,1,0.001,61.92187748122903,100000.0,7
subj08,V1,B1,2,0.001,51004.61650128252,100000.0,10
subj08,V1,B1,3,0.001,14.571119709035626,100000.0,19
subj08,V2,B0,0,0.001,13.219411484660315,100000.0,17
subj08,V2,B0,1,0.001,84.97534359086455,100000.0,11
subj08,V2,B0,2,0.004430621457583882,100000.0,100000.0,11
subj08,V2,B0,3,0.001,70.54802310718645,100000.0,13
subj08,V2,B1,0,0.001,7.56463327554629,100000.0,14
subj08,V2,B1,1,0.001,1.4174741629268062,100000.0,16
subj08,V2,B1,2,0.001,100000.0,100000.0,10
subj08,V2,B1,3,0.001,376.49358067924715,100000.0,8
subj08,V3,B0,0,0.001,41.071021155021,100000.0,12
subj08,V3,B0,1,0.001,50042.48767179543,100000.0,7
subj08,V3,B0,2,0.001,100000.0,100000.0,4
subj08,V3,B0,3,0.001,1.7270431566454687,100000.0,10
subj08,V3,B1,0,0.001,94.43349940570612,100000.0,11
subj08,V3,B1,1,0.001,215.44346900318865,100000.0,6
subj08,V3,B1,2,0.001,0.3372075328875414,100000.0,8
subj08,V3,B1,3,0.001,0.11075653699515228,100000.0,9
subj08,hV4,B0,0,0.001,2.8251629860766414,100000.0,8
subj08,hV4,B0,1,0.001,40.83575259069918,100000.0,7
subj08,hV4,B0,2,0.001,100000.0,100000.0,4
subj08,hV4,B0,3,0.001,50020.185086292986,100000.0,4
subj08,hV4,B1,0,0.001,103.34527346390738,100000.0,6
subj08,hV4,B1,1,0.001,50000.19267642969,100000.0,4
subj08,hV4,B1,2,0.001,0.854176323735346,100000.0,5
subj08,hV4,B1,3,0.26560877829466867,10.125794607247,100000.0,6
subj08,ventral,B0,0,0.001,259.5024211399737,100000.0,56
subj08,ventral,B0,1,0.001,33.516026509388475,100000.0,55
subj08,ventral,B0,2,0.001,215.44346900318865,100000.0,60
