participant,ROI,beta,fold,n_voxels,v2v_lambda_median,v2v_r_model,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas,v2i_r_model,val_score,test_mean_r,test_median_r,finite_frac,target_constant,prediction_constant,null_mean,null_p95_mean,fraction_voxels_above_null_p95
subj01,hV4,B0,2,14,30.670810265729866,1,0.001,0.2008251838586298,100000.0,12,11,0.19000563924587627,0.10312500823873598,0.11472641342987154,1.0,0,0,-0.0016381484610806965,0.34100079384810617,0.14285714285714285
subj01,hV4,B0,3,14,34.09788330401842,5,0.001,51210.064132397194,100000.0,7,10,0.06339892439242663,0.02163854033729536,0.012248859939988256,1.0,0,0,0.0020364725250791747,0.3479877370650074,0.07142857142857142
subj01,hV4,B1,0,14,50226.74392540643,3,0.001,50020.185086292986,100000.0,8,7,0.09648692872892471,0.12148250228360216,0.09044040375256092,1.0,0,0,0.002016357190477104,0.34618268019744697,0.21428571428571427
subj01,hV4,B1,1,14,25.463445511451443,1,0.0012045035402587824,0.17334938114845333,148.49682622544665,12,12,0.014937966666914966,-0.01700749605483891,0.023929317705246412,1.0,0,0,-0.002101525700079532,0.3386305984670109,0.0
subj01,hV4,B1,2,14,5.020854815769001,1,0.001,0.0019262162722598515,2009.23300256505,10,3,0.06552375358760787,-0.08353735726247037,-0.20390134575987587,1.0,0,0,0.0037014782657939214,0.3454356639448433,0.14285714285714285
subj01,hV4,B1,3,14,93.66422289038363,12,0.001,51.88528817641475,100000.0,8,8,-0.09411214800912412,-0.05579382139629404,-0.0930125403027846,1.0,0,0,0.002223133034645334,0.34227848841729447,0.07142857142857142
subj01,ventral,B0,0,153,215.44346900318865,6,0.001,84.97534359086455,100000.0,53,5,0.17402417164017842,0.1793621535575796,0.19947545770163055,1.0,0,0,-0.0007841572181197074,0.34401270567816244,0.21568627450980393
subj01,ventral,B0,1,153,148.49682622544665,2,0.001,40.37017258596558,100000.0,61,2,0.16155498994628245,0.06449461210176377,0.07976122079769159,1.0,0,0,-0.0006093581150053587,0.34048395570135576,0.1111111111111111
subj01,ventral,B0,2,153,546.2277217684348,8,0.001,546.2277217684348,100000.0,57,9,0.17165888795609052,0.1355851684215454,0.1319146122953699,1.0,0,0,-0.0005868410077808882,0.34384375998200256,0.1503267973856209
subj01,ventral,B0,3,153,33.516026509388475,5,0.001,84.97534359086455,100000.0,50,11,0.17220268783431286,-0.006669486321137407,-0.003734568881823291,1.0,0,0,-0.0012868347496447527,0.3420802752434952,0.08496732026143791
subj01,ventral,B1,0,153,954.5484566618347,8,0.001,13.219411484660315,100000.0,52,5,0.09140875586291163,-0.16127548322819638,-0.18091087781966772,1.0,0,0,-0.00028553665435920503,0.3413337293633998,0.013071895424836602
subj01,ventral,B1,1,153,4229.242874389508,5,0.001,15.922827933410938,100000.0,46,8,0.029400820211794344,0.038922875240860674,0.0360434245282337,1.0,0,0,0.0006879539925094733,0.34006682757980944,0.08496732026143791
