subject,roi,fold,pair,s1,s2,AXIS_SINGULAR_GAP,s2_over_s1
subj02,ventral,4,14,10.1745349630053,5.3682955729659065,0.47237926917691303,0.527620730823087
subj02,ventral,4,15,10.330583109190115,6.49554564500856,0.3712314613460585,0.6287685386539414
subj02,ventral,4,16,11.720397406886429,7.684462694019046,0.34435135369181524,0.6556486463081848
subj02,ventral,4,17,9.703845798020065,7.05755503906874,0.27270535971328647,0.7272946402867135
subj02,ventral,4,18,10.591466236379357,6.187946331643788,0.4157611237630581,0.5842388762369419
subj02,ventral,4,19,10.396885965166693,5.882381636653333,0.43421697070051285,0.5657830292994871
subj02,ventral,4,20,10.293771034731463,6.641655759564617,0.35478885850914216,0.6452111414908579
subj02,ventral,4,21,11.832765944534717,7.587132865235754,0.35880309804149585,0.6411969019585041
subj02,ventral,4,22,9.49700544074312,7.41220930637366,0.21952142150255835,0.7804785784974416
subj02,ventral,4,23,10.4426582509367,6.525410196728778,0.3751198172033014,0.6248801827966985
subj02,ventral,4,24,10.489418558866623,5.8163564652264474,0.4455024906685674,0.5544975093314326
