subject,roi,fold,di,dj,SIM
subj05,ventral,1,1,2,0.12205003032673781
subj05,ventral,1,1,3,0.20235672313433295
subj05,ventral,1,1,4,0.22891094065605233
subj05,ventral,1,1,5,0.1534422668939007
subj05,ventral,1,1,6,0.27470616874375753
subj05,ventral,1,2,3,0.1780777626722054
subj05,ventral,1,2,4,0.15375930059448734
subj05,ventral,1,2,5,0.13637149997339765
subj05,ventral,1,2,6,0.19295597558044295
subj05,ventral,1,3,4,0.2735851828019886
subj05,ventral,1,3,5,0.272351144871758
subj05,ventral,1,3,6,0.36265382731529916
subj05,ventral,1,4,5,0.23790021636935216
subj05,ventral,1,4,6,0.309758074407791
subj05,ventral,1,5,6,0.2579772045056121
subj05,ventral,2,0,1,0.04157338974782129
subj05,ventral,2,0,2,0.10141951214190704
subj05,ventral,2,0,3,0.11940511436809906
subj05,ventral,2,0,4,0.035531036708894084
subj05,ventral,2,0,5,0.053597995673534835
subj05,ventral,2,0,6,0.10685078957756043
subj05,ventral,2,1,2,0.173090677878263
subj05,ventral,2,1,3,0.26701496041719924
subj05,ventral,2,1,4,0.050992349813690226
subj05,ventral,2,1,5,0.14492224216053223
subj05,ventral,2,1,6,0.2976920422707363
subj05,ventral,2,2,3,0.30224297241754394
subj05,ventral,2,2,4,0.10946217319423673
subj05,ventral,2,2,5,0.17771910905688726
subj05,ventral,2,2,6,0.29975687135425033
subj05,ventral,2,3,4,0.08689119248585744
subj05,ventral,2,3,5,0.2096051637190559
subj05,ventral,2,3,6,0.3707415683810593
subj05,ventral,2,4,5,0.07397926977003144
subj05,ventral,2,4,6,0.0835589604753633
subj05,ventral,2,5,6,0.19856975754245842
subj05,ventral,3,0,1,0.024027430765349272
subj05,ventral,3,0,2,0.027497306679516803
subj05,ventral,3,0,3,0.054572068440105516
subj05,ventral,3,0,4,0.02557548095241725
subj05,ventral,3,0,5,0.024413772954958127
subj05,ventral,3,0,6,0.04225183435875756
subj05,ventral,3,1,2,0.15658392411865885
subj05,ventral,3,1,3,0.2873329379126275
subj05,ventral,3,1,4,0.1681314201441744
subj05,ventral,3,1,5,0.10022210827497886
subj05,ventral,3,1,6,0.29910924523225785
subj05,ventral,3,2,3,0.1785220309687194
