subject,roi,M,T,N_TRIALS,q,R_COMP,TOTAL_RECOVERY,FULL_CAPACITY_FRACTION
subj06,lateral,6,4,24,6,0.5514615362694465,0.7752260081993854,0.8191468426116374
subj06,lateral,6,8,48,6,0.6209794661755621,0.892180112664488,0.9427270429529299
subj06,lateral,8,1,8,6,0.38476671820295943,0.49478550612649275,0.5228178374135188
subj06,lateral,8,2,16,6,0.4896131623882883,0.6711748491723187,0.7092006108216671
subj06,lateral,8,4,32,6,0.5769539278015601,0.8181133586475153,0.8644639983004192
subj06,lateral,8,8,64,6,0.6410020219743916,0.9258652365701792,0.9783206151479842
subj06,lateral,10,1,10,6,0.405304478372506,0.5293373886637354,0.5593272749031226
subj06,lateral,10,2,20,6,0.5092389961935272,0.704192544321937,0.7440889407358605
subj06,lateral,10,4,40,6,0.5946775404553872,0.8479308352123973,0.8959707995744132
subj06,lateral,10,8,80,6,0.6531973895319237,0.946382221083961,1.0
subj07,lateral,2,1,2,2,0.3284673315446454,0.30225189527389146,0.3006162576241338
subj07,lateral,2,2,4,2,0.4250614392331537,0.4571156910912098,0.4546420072323667
subj07,lateral,2,4,8,2,0.5383417421623342,0.6387315072393376,0.6352750084789893
subj07,lateral,2,8,16,2,0.6414422052994918,0.8040265697853033,0.7996755759635619
subj07,lateral,4,1,4,4,0.4451886816545169,0.48938454511654167,0.48673623819202505
subj07,lateral,4,2,8,4,0.540837254921375,0.6427324197962593,0.6392542700775091
subj07,lateral,4,4,16,4,0.6387202971264615,0.7996626904387394,0.7953353117720056
subj07,lateral,4,8,32,4,0.712432495696428,0.9178412330202035,0.9128743305765731
subj07,lateral,6,1,6,6,0.5120179971964516,0.5965281558849298,0.5933000407724613
subj07,lateral,6,2,12,6,0.6008162559455913,0.7388933139772406,0.7348947890965275
subj07,lateral,6,4,24,6,0.6864979231792417,0.8762618195443567,0.8715199243056415
subj07,lateral,6,8,48,6,0.7440983634652301,0.9686093036393743,0.9633676695265345
subj07,lateral,8,1,8,6,0.5468623132293428,0.6523920504085265,0.6488616275501891
subj07,lateral,8,2,16,6,0.6306112265658408,0.7866618824431022,0.7824048577141516
subj07,lateral,8,4,32,6,0.7090534648291814,0.9124238265260811,0.9074862404049101
subj07,lateral,8,8,64,6,0.7581811256021251,0.9911873889108368,0.9858235733761206
subj07,lateral,10,1,10,6,0.5713451561937356,0.6916439891095068,0.6879011541876912
subj07,lateral,10,2,20,6,0.6506609762603988,0.8188064968216433,0.8143755213504918
subj07,lateral,10,4,40,6,0.7236242136181745,0.9357842728241167,0.9307202715304435
subj07,lateral,10,8,80,6,0.7670715800184226,1.0,0.9999999961269148
subj08,lateral,2,1,2,2,0.20263354525217178,0.20587749530645125,0.3475085458698526
subj08,lateral,2,2,4,2,0.2504150785491605,0.2795321120772791,0.47183300752377094
subj08,lateral,2,4,8,2,0.31700620283790154,0.38218147055098245,0.645098809327763
subj08,lateral,2,8,16,2,0.38997775292684783,0.49466617303149774,0.8349660667150836
subj08,lateral,4,1,4,4,0.2646735097266046,0.3015112996768125,0.5089325239655528
subj08,lateral,4,2,8,4,0.3251674112388164,0.39476186794886436,0.6663337461512139
subj08,lateral,4,4,16,4,0.396484533902049,0.504696291909461,0.8518962902977752
subj08,lateral,4,8,32,4,0.4606240186954371,0.6035664797490184,1.0
subj08,lateral,6,1,6,6,0.31074396276473115,0.3725283083167485,0.6288048653681713
subj08,lateral,6,2,12,6,0.3763142089835415,0.47360399642405476,0.799414408410655
subj08,lateral,6,4,24,6,0.4445819075059242,0.578837772436207,0.9770425480183498
subj08,lateral,6,8,48,6,0.48740603119865455,0.644850606296718,1.0
subj08,lateral,8,1,8,6,0.3327980764186862,0.40652443982022857,0.686188243801008
subj08,lateral,8,2,16,6,0.40323183510555183,0.5150971696145025,0.8694523319703682
subj08,lateral,8,4,32,6,0.46790537499445367,0.6147905964897367,1.0
subj08,lateral,8,8,64,6,0.4885597311937706,0.6466290199462048,1.0
subj08,lateral,10,1,10,6,0.3511297122792145,0.4347824198581917,0.7338859755885201
subj08,lateral,10,2,20,6,0.4247763441399555,0.5483077521753733,0.925509752117432
subj08,lateral,10,4,40,6,0.4839003190869152,0.6394465963313181,1.0
subj08,lateral,10,8,80,6,0.45340512790929627,0.5924386527900377,0.9999999972882382
